#PART EK-88XVS-KT-001
1	Section 1	System Architecture
1	Chapter 1	The Physical System
2	1.1	Manual Scope
2	1.2	Manual Organization
2	1.3	System Cabinet Layout
2	1.4	Kernel Block Diagram
2	1.5	Cabinet Layout (Rear View)
2	1.6	Module Identification
2	1.7	Power System Module Identification
2	1.8	Module Layout
2	1.9	System Jumpers
3	1.9.1	Revision Jumpers
3	1.9.2	Serial Number Jumpers
2	1.10	Backplane Pins
2	1.11	F-Series Pins
1	Chapter 2	System Mapping and Device Memory Allocation
2	2.1	Virtual Memory Addressing
2	2.2	Physical Address Map
2	2.3	NMI Address Selection
2	2.4	System Control Block
1	Section 2	Hardware
1	Chapter 3	Hardware Reference Documentation
1	Chapter 4	Cables, Jumpers, and Revision Control
2	4.1	CPU Backplane Assembly
2	4.2	Cabinet Assembly (Front View)
2	4.3	Cabinet Assembly (Side View)
2	4.4	Cabinet Assembly (Rear View)
2	4.5	Cabinet Assembly (Cable Installation)
2	4.6	CPU Backplane Connections
2	4.7	Parts List
2	4.8	NBI Cables to VAXBI Backplanes
1	Chapter 5	Power System Complex
2	5.1	VAX 8700/8800 System Circuit Breakers
2	5.2	Upper Power Rack
2	5.3	Power Distribution
2	5.4	Console Cabling
2	5.5	Power-Up Sequence
2	5.6	Power Up From BBU
2	5.7	Power-Down Sequence
2	5.8	Power Down/Power Interrupt With BBU
2	5.9	Console/EMM Power Up
2	5.10	Console/EMM Power Down
2	5.11	Console/EMM Power Failure
2	5.12	H7170 LEDs and Error Codes
2	5.13	MPS LEDs and Error Codes
2	5.14	EMM LEDs and Error Codes
2	5.15	Power/Environmental System
3	5.15.1	Module Placement Verification
3	5.15.2	Module Key Test
3	5.15.3	Module Key Test Block Diagram
3	5.15.4	Module Key Test Connections
3	5.15.5	Module Placement
2	5.16	Power Monitoring/Error Reporting
3	5.16.1	Default Mode Error Reporting
3	5.16.2	Operational Error Handling
2	5.17	Power System Circuit Breakers
2	5.18	Power System Connectors
2	5.19	Power System MPS Backplane Connectors
2	5.20	Console Power Connectors
2	5.21	NBOX Port Conditioner (Front View)
1	Chapter 6	Kernel Diagrams and Interconnects
2	6.1	VAX 8700/8800 System Block Diagram
2	6.2	Console Block Diagram
2	6.3	Console Interface
2	6.4	Clock Module Block Diagram
2	6.5	CPU Block Diagram
2	6.6	IBox Block Diagram
2	6.7	EBox Block Diagram
2	6.8	CBox Block Diagram
2	6.9	MBox Block Diagram
2	6.10	I/O Interconnects and Adapters
2	6.11	NMI Signals and Timing
2	6.12	NMI Signals
2	6.13	NMI Signals Descriptions
2	6.14	NMI Write Transaction
2	6.15	NMI Read Transaction
2	6.16	NMI Write Transaction Types
2	6.17	NMI Read Transaction Types
2	6.18	Detailed NMI Arbitration Line Timing
2	6.19	Memory Busy Timing
2	6.20	Fault Signal Timing
1	Chapter 7	Register Descriptions
2	7.1	Console-to-VAX Data/Status/Control Registers
2	7.2	VAX-to-Console Data/Status/Control Registers
2	7.3	Real-Time Interface
2	7.4	VAX Architectural IPRs
3	7.4.1	Stack Pointers
3	7.4.2	P0/P1 Base Registers
3	7.4.3	System Base Register
3	7.4.4	P0/P1/System Length Registers
3	7.4.5	Process Control Block Base
3	7.4.6	System Control Block Base
3	7.4.7	Interrupt Priority Level
3	7.4.8	Asynchronous System Trap (AST) Level
3	7.4.9	Software Interrupt Request
3	7.4.10	Software Interrupt Summary
3	7.4.11	Memory Management Enable
3	7.4.12	Translation Buffer Invalidate All
3	7.4.13	Translation Buffer Invalidate Single
2	7.5	Machine Specific IPRs
3	7.5.1	Machine Check Status
3	7.5.2	Performance Monitor Enable
3	7.5.3	System Identification
3	7.5.4	Cache On
3	7.5.5	Revision Register 1
3	7.5.6	Revision Register 2
2	7.6	NMI Registers
3	7.6.1	NMI Interrupt Control
3	7.6.2	NMI Fault Summary
3	7.6.3	NMI Silo Data
3	7.6.4	NMI Error Address
3	7.6.5	Interrupt Other Processor
2	7.7	I/O Register Space Addressing
3	7.7.1	Node ID and Window Space Address
3	7.7.2	I/O Registers in NBI and Memory Controller
2	7.8	NBI Registers
3	7.8.1	NBIA Control/Status Register 0 (CSR0)
3	7.8.2	NBIA Control/Status Register 1 (CSR1)
3	7.8.3	NBIA BR4 Vector Register (BR4VR)
3	7.8.4	NBIA BR5 Vector Register (BR5VR)
3	7.8.5	NBIA BR6 Vector Register (BR6VR)
3	7.8.6	NBIA BR7 Vector Register (BR7VR)
3	7.8.7	NBIB Registers
3	7.8.8	NBIB Device Type Register (R/W, DMW, DCLOL)
3	7.8.9	NBIB Control and Status Register
3	7.8.10	NBIB Bus Error Register (W1C, DCLOC)
3	7.8.11	NBIB Error Interrupt Control Register
3	7.8.12	NBIB Interrupt Destination Register (R/W, DCLOC)
3	7.8.13	NBIB IP Interrupt Mask Register (R/W, DCLOC)
3	7.8.14	NBIB IP Interrupt Destination Register (R/W, DCLOC)
3	7.8.15	NBIB IP Interrupt Source Register (W1C, DCLOC)
3	7.8.16	NBIB Starting Address Register (R/W, DCLOC)
3	7.8.17	NBIB Ending Address Register (R/W, DCLOC)
3	7.8.18	NBIB BCI Control Register
3	7.8.19	NBIB Write Status Register (W1C, DCLOC)
3	7.8.20	NBIB User Interrupt Control Register
2	7.9	MCL Control and Status Registers
2	7.10	Maintenance Aids
3	7.10.1	VBus Directory
3	7.10.2	CBox Error Register -- IPR A0
3	7.10.3	IBox Error Register -- IPR C0
3	7.10.4	EBox Error Register -- IPR B0
2	7.11	EMM Registers
2	7.12	UET Setup
1	Section 3	Console Subsystem
1	Chapter 8	Console Software
2	8.1	Required Components (Hardware/Software)
2	8.2	Required Components (Console Software)
1	Chapter 9	Start-Up and Initialization
2	9.1	Console Power-Up Flow
2	9.2	The Big Picture
2	9.3	Loading and Access Registers
2	9.4	Miscellaneous Registers
2	9.5	PPI Control Word Register
2	9.6	Port Formats
2	9.7	RXDB/TXDB Formats
2	9.8	Control Registers 0, 1, 2
2	9.9	Firmware Load Path
2	9.10	Power-Up Procedure
3	9.10.1	EMM Power-Up
4	9.10.1.1	EMM Errors
4	9.10.1.2	EMM Default Parameters
4	9.10.1.3	EMM Response to Console Commands
3	9.10.2	Console (PRO) Power-Up and Initialization
4	9.10.2.1	Boot PRO38N Operating System/Run Console
4	9.10.2.2	Initialize Console Database
4	9.10.2.3	Spawn RTI Driver
4	9.10.2.4	Test EMM Communications and Read EMM Revision Number
4	9.10.2.5	Check EMM Software Revision Number/Test for Compatibility
4	9.10.2.6	Program EMM with VAX 8800 Environmental Parameters
4	9.10.2.7	Unlock/Open Logfile
4	9.10.2.8	Reconstruct Console State
4	9.10.2.9	Test for Previous System INIT in Progress Flag
4	9.10.2.10	Test VAX 8800 Power Status
4	9.10.2.11	Set System INIT in Progress Flag
4	9.10.2.12	Force @SYSINIT.COM into Console Command Stream
4	9.10.2.13	System Initialization (SYSINIT.COM)
3	9.10.3	Summary of SYSINIT.COM
1	Section 4	Microcode
1	Chapter 10	Microcode Charts
2	10.1	Microcode Overview
2	10.2	CS0 Segment Chart
