#PART EK-BA11K-OP-001
1	Chapter 1	BA11-K Characteristics and Specifications
2	1.1	General
2	1.2	Physical Characteristics
3	1.2.1	BA11-K Characteristics
3	1.2.2	H765 Power System
2	1.3	Electrical Specifications
3	1.3.1	BA11-KE, BA11-KF Input Power Electrical Specifications
3	1.3.2	BA11-K Output Power Specifications
3	1.3.3	Power Up, Power Down Characteristics
1	Chapter 2	System Units, Options, Harnesses, and Installation Information
2	2.1	General
3	2.1.1	Introduction to System Units
3	2.1.2	BA11-K System Unit Configuration
3	2.1.3	Unibus Pin Assignments
3	2.1.4	System Unit Installation
2	2.2	Option Configurations
2	2.3	Computer Option and Main Power Wire Harnesses
2	2.4	Power Distribution Wire Color Coding
2	2.5	Unibus and Communication Cable Routing
2	2.6	Cabinet and Slide Mounting Specifications
1	Chapter 3	Unpacking and Installation
2	3.1	Introduction
2	3.2	Unpacking
2	3.3	Installation in a Cabinet
2	3.4	AC Power Supply Connection
3	3.4.1	Connecting to 155 Vac or 230 Vac
3	3.4.2	Quality of AC Power Source
2	3.5	Remote Power Control
2	3.6	Installation Certification
