#PART EK-DMV11-UG-001
1	Chapter 1	Introduction
2	1.1	Introduction
2	1.2	Introduction to Multipoint
2	1.3	DMV11 General Description
2	1.4	Standard Applications
2	1.5	DMV11 System Operation
2	1.6	Command/Response Structures
3	1.6.1	Input Commands
3	1.6.2	Output Responses
2	1.7	Protocol Support
3	1.7.1	Data Messages
3	1.7.2	Control Messages
3	1.7.3	Maintenance Messages
2	1.8	General Specifications
3	1.8.1	Environmental Specifications
3	1.8.2	Electrical Specifications
3	1.8.3	Performance Specifications
1	Chapter 2	Installation
2	2.1	Introduction
2	2.2	Unpacking and Inspection
2	2.3	Installation Considerations
2	2.4	Preinstallation Considerations
3	2.4.1	Device Placement
3	2.4.2	System Requirements
2	2.5	Installation
2	2.6	DMV11 System Testing
3	2.6.1	Functional Diagnostic Testing
3	2.6.2	DEC/X11 System Exerciser
3	2.6.3	Final Cable Connections
3	2.6.4	DMV11 Link Testing
1	Chapter 3	Command and Response Structures
2	3.1	Introduction
2	3.2	Command Structure
3	3.2.1	Control and Status Registers
3	3.2.2	Input Commands Overview
3	3.2.3	Output Responses Overview
2	3.3	DMV11 Input Commands
3	3.3.1	Microprocessor Control/Maintenance Command
3	3.3.2	Mode Definition Command
3	3.3.3	Control Command
3	3.3.4	Buffer Address/Character Count (BA/CC) Command
2	3.4	DMV11 Output Responses
3	3.4.1	Buffer Disposition Response
3	3.4.2	Control Response
3	3.4.3	Information Response
2	3.5	TSS/GSS Access
1	Chapter 4	Programming Techniques
2	4.1	Introduction
2	4.2	Command/Response Discipline and Handshaking
3	4.2.1	Command Discipline
3	4.2.2	Retrieving Responses
3	4.2.3	CSR Interface Interactions
2	4.3	DMV11 Start-Up
3	4.3.1	Configuration Procedure
3	4.3.2	Specifying User-Defined Parameters
4	4.3.2.1	Specifying TSS Parameters
4	4.3.2.2	Specifying GSS Parameters
3	4.3.3	Protocol Operation
2	4.4	Criteria for Determining Communications Link Parameters
3	4.4.1	Setting the Selection Interval Timer
3	4.4.2	Setting the Babbling Tributary Timer
3	4.4.3	Setting the Streaming Tributary Timer
2	4.5	Error Counter Access
3	4.5.1	Reading the Counters
3	4.5.2	Counter Skew
2	4.6	Error Recovery Procedures
3	4.6.1	Recovery from Network Errors
4	4.6.1.1	Recovery from Threshold Errors
4	4.6.1.2	Recovery from Babbling and Streaming Tributary Errors
3	4.6.2	Recovery from Procedural Errors
4	4.6.2.1	Recovery from a Nonexistent Memory Error
4	4.6.2.2	Recovery from a Receive Buffer Too Small Error
4	4.6.2.3	Recovery from a Queue Overflow Error
2	4.7	Booting a Remote Station
3	4.7.1	Steps Leading to a Remote Load Detect Boot
3	4.7.2	Steps Leading to a Power-On Boot
3	4.7.3	Steps Leading to an Invoke Primary MOP Boot
3	4.7.4	DMV11 Switch Settings for the Boot Functions
4	4.7.4.1	Switch Settings for the Power-On Boot Function
4	4.7.4.2	Switch Settings for the Invoke Primary MOP Boot Function
4	4.7.4.3	Switch Settings for the Remote Load Detect Boot Function
2	4.8	Maintenance Register Emulation
1	Chapter 5	Aspects of DMV11 Microcode Operation
2	5.1	Introduction
2	5.2	DMV11 Polling Algorithm
3	5.2.1	Calculating Polling Urgency
3	5.2.2	Criteria for Determining Polling Parameters
4	5.2.2.1	Determining a Value for DELTA T
4	5.2.2.2	Determining Values for Q and R
4	5.2.2.3	Determining a Value for Poll Delay
4	5.2.2.4	Determining a Value for DEAD T
2	5.3	Error Counters
3	5.3.1	Data Link Error Counters
4	5.3.1.1	Data Errors Outbound
4	5.3.1.2	Data Errors Inbound
4	5.3.1.3	Local Reply Timeout
4	5.3.1.4	Remote Reply Timeouts
4	5.3.1.5	Local Buffer Errors
4	5.3.1.6	Remote Buffer Errors
4	5.3.1.7	Selection Timeouts
4	5.3.1.8	Data Messages Transmitted
4	5.3.1.9	Data Messages Received
4	5.3.1.10	Selection Intervals
3	5.3.2	Station Error Counters
4	5.3.2.1	Remote Station Errors
4	5.3.2.2	Local Station Errors
4	5.3.2.3	Global Header Block-Check Errors
4	5.3.2.4	Maintenance Data Field Block-Check Errors
3	5.3.3	Threshold Error Counters
4	5.3.3.1	Transmit Threshold Errors
4	5.3.3.2	Receive Threshold Errors
4	5.3.3.3	Selection Threshold Errors
2	5.4	DMV11 Microcode Internal Data Base Overview
3	5.4.1	Linked Lists
4	5.4.1.1	The Free Linked List
4	5.4.1.2	The Response Linked List
4	5.4.1.3	Buffer Linked Lists
3	5.4.2	Slot Mapping Table
3	5.4.3	TSS and GSS Structures
4	5.4.3.1	The Global Status Slot (GSS)
4	5.4.3.2	Tributary Status Slots (TSS)
1	Appendix A	DDCMP in a Nutshell
2	A.1	DDCMP
3	A.1.1	Controlling Data Transfers
3	A.1.2	Error Checking and Recovery
3	A.1.3	Character Coding
3	A.1.4	Data Transparency
3	A.1.5	Data Channel Utilization
2	A.2	Protocol Description
2	A.3	Message Format
1	Appendix B	Floating Device and Vector Addresses
2	B.1	Floating Device Addresses
2	B.2	Floating Vector Addresses
2	B.3	Examples of Device and Vector Address Assignment
1	Appendix C	Modem Control Register Formats
2	C.1	Modem Control Register Formats
2	C.2	RS-449 Versus RS-232-C
1	Appendix D	Modem Control
2	D.1	Modem Control
3	D.1.1	Hardware Modem Control
3	D.1.2	Modem Control Implemented by the DMV11 Microcode
