#PART EK-DPV11-UG-001
1	Chapter 1	Introduction
2	1.1	Scope
2	1.2	DPV11 General Description
2	1.3	DPV11 Operation
2	1.4	DPV11 Features
2	1.5	General Specifications
3	1.5.1	Environmental Specifications
3	1.5.2	Electrical Specifications
3	1.5.3	Performance Parameters
2	1.6	DPV11 Configurations
2	1.7	EIA Standards Overview
1	Chapter 2	Installation
2	2.1	Introduction
2	2.2	Unpacking and Inspection
2	2.3	Pre-installation Requirements
2	2.4	Installation
3	2.4.1	Verification of Hardware Operation
3	2.4.2	Connection to External Equipment/Link Testing
2	2.5	Test Connectors
1	Chapter 3	Register Descriptions and Programming Information
2	3.1	Introduction
2	3.2	DPV11 Registers and Device Addresses
2	3.3	Register Bit Assignments
3	3.3.1	Receive Control and Status Register (RXCSR)
3	3.3.2	Receive Data and Status Register (RDSR)
3	3.3.3	Parameter Control Sync/Address Register (PCSAR)
3	3.3.4	Parameter Control and Character Length Register (PCSCR)
3	3.3.5	Transmit Data and Status Register (TDSR)
2	3.4	Data Transfers
3	3.4.1	Receive Data
3	3.4.2	Transmit Data
2	3.5	Interrupt Vectors
1	Appendix A	Diagnostic Supervisor Summary
2	A.1	Introduction
2	A.2	Versions of the Diagnostic Supervisor
2	A.3	Loading and Running a Supervisor Diagnostic
2	A.4	Supervisor Commands
3	A.4.1	Command Switches
3	A.4.2	Control/Escape Characters Supported
2	A.5	The Setup Utility
1	Appendix B	USYNRT Description
1	Appendix C	IC Descriptions
2	C.1	General
2	C.2	DC003 Interrupt Chip
2	C.3	DC004 Protocol Chip
2	C.4	DC005 Bus Transceiver Chip
2	C.5	26LS32 Quad Differential Line Receiver
2	C.6	8640 Unibus Receiver
2	C.7	8881 NAND
2	C.8	9636A Dual Line Driver
2	C.9	9638 Dual Differential Line Driver
1	Appendix D	Programming Examples
