#PART EK-DUP11-OP-001
1	Chapter 1	Introduction
2	1.1	Scope
2	1.2	DUP11 General Description
2	1.3	SDLC and DDCMP Protocols
3	1.3.1	Introduction
3	1.3.2	General Introduction
3	1.3.3	SDLC Protocol Description
4	1.3.3.1	Message Format
4	1.3.3.2	Abort Sequence
3	1.3.4	DDCMP Protocol
4	1.3.4.1	Controlling Data Transfers
4	1.3.4.2	Error Checking and Recovery
4	1.3.4.3	Character Coding
4	1.3.4.4	Data Transparency
4	1.3.4.5	Data Channel Utilization
4	1.3.4.6	Synchronization
4	1.3.4.7	Bootstrapping
1	Chapter 2	Installation
2	2.1	Scope
2	2.2	Unpacking and Inspection
2	2.3	Pre-installation Set-Up Procedures
2	2.4	Installation
2	2.5	Verification of Hardware Operation
2	2.6	Compatibility
2	2.7	Power Requirements
2	2.8	Device Addresses
3	2.8.1	Introduction
3	2.8.2	Floating Device Address Assignments
3	2.8.3	Device Address Selection
2	2.9	Vector Addresses
3	2.9.1	Introduction
3	2.9.2	Floating Vector Address Assignment
3	2.9.3	Vector Address Selection
1	Chapter 3	Operating Features and Register Descriptions
2	3.1	Major Operating Features
3	3.1.1	Introduction
3	3.1.2	Modem Control
3	3.1.3	Transmitter Section
3	3.1.4	Receiver Section
2	3.2	DUP11 Registers and Device Address Selection
2	3.3	Interrupt Vectors
2	3.4	Priority Selection
2	3.5	Register Bit Assignments
1	Appendix A	PDP-11 Memory Organization and Addressing Conventions

	
