#PART DEC-11-H05SS-B-D
1	Chapter 1	Introduction
2	1.1	Scope
2	1.2	System Components
3	1.2.1	BA11-K Mounting Box
3	1.2.2	Backplane
3	1.2.3	KD11-B Processor
3	1.2.4	KY11-J Programmer's Console
3	1.2.5	MM11-U Core Memory System
3	1.2.6	Unibus
2	1.3	Reference Documents
2	1.4	Reference Drawings
1	Chapter 2	Installation
2	2.1	Scope
2	2.2	Environmental Requirements
3	2.2.1	Humidity and Temperature
3	2.2.2	Air Conditioning
3	2.2.3	Special Mounting Conditions
3	2.2.4	Static Electricity
2	2.3	Electrical Requirements
2	2.4	Installation Procedures
3	2.4.1	Unpacking
3	2.4.2	Inspection
3	2.4.3	Cabinet and Slide Mounting Specifications
3	2.4.4	Installation of LA36 DECwriter as an SCL Device
3	2.4.5	Initial Power Turn-On
2	2.5	Installation Certification
1	Chapter 3	System Operation
2	3.1	Scope
2	3.2	KY11-J Programmer's Console
3	3.2.1	Console Power Key Switch
3	3.2.2	Function Switches
3	3.2.3	ADDRESS/DATA Switches
3	3.2.4	Console Indicators
2	3.3	Console Operation
3	3.3.1	Load Address Switch
3	3.3.2	Examine Switch
3	3.3.3	Deposit Switch
3	3.3.4	ENABLE/HALT Switch
3	3.3.5	START Switch
3	3.3.6	Continue Switch
2	3.4	Unconditional Computer and Unibus Initialization
2	3.5	Basic Operation
3	3.5.1	Power On
3	3.5.2	Basic Console Control
4	3.5.2.1	ENABLE/HALT Switch
4	3.5.2.2	Loading Data Manually
3	3.5.3	Manual Program Loading (Bootstrap Loader)
3	3.5.4	Automatic Program Loading
3	3.5.5	Memory Dumps
4	3.5.5.1	Operating Procedures
4	3.5.5.2	Output Formats
4	3.5.5.3	Storage Maps
3	3.5.6	Running Programs
2	3.6	Basic Programming
1	Chapter 4	Instruction Set
2	4.1	Scope
2	4.2	Addressing Modes
3	4.2.1	Introduction
3	4.2.2	Instruction Timing
2	4.3	PDP-11/05/10-S Instructions
2	4.4	Instruction Set Differences
1	Chapter 5	Power System
2	5.1	Scope
2	5.2	H765 Power Supply
2	5.3	Power System
3	5.3.1	Power Flow
2	5.4	Voltage Regulator Output Specifications
1	Chapter 6	System Expansion
2	6.1	Scope
2	6.2	Types of System Expansion
2	6.3	SPC Installation
2	6.4	System Unit (SU) Installation
2	6.5	Expansion Box Installation
1	Chapter 7	General Maintenance
2	7.1	Scope
2	7.2	Maintenance Philosophy
3	7.2.1	Knowledge of Hardware Operation
3	7.2.2	Detection and Isolation of Error Conditions
3	7.2.3	Means of Repairing Error Conditions
2	7.3	Maintenance Equipment Required
2	7.4	Preventive Maintenance
3	7.4.1	Physical Checks
3	7.4.2	Electrical Checks and Adjustments
4	7.4.2.1	DC Voltage Checks
4	7.4.2.2	Processor Clock Adjustment Check
4	7.4.2.3	SCL Clock Adjustment Check
2	7.5	Troubleshooting Procedures
3	7.5.1	Initial Investigation
3	7.5.2	Preliminary Check
3	7.5.3	Run System Diagnostics
3	7.5.4	Run Device Diagnostics
2	7.6	Diagnostic Programs
3	7.6.1	General Description
2	7.7	KM11 Maintenance Modules
3	7.7.1	Use of the KM11 Maintenance Modules
2	7.8	Use of Module Extenders
1	Appendix A	Cable Connectors
2	A.1	Introduction
2	A.2	Serial Communications Line Interface
2	A.3	Console Cable
2	A.4	Unibus Cable/Jumper
