#PART DEC-11-HKDBB-A-D
1	Chapter 1	Introduction
2	1.1	Scope
2	1.2	Organization
1	Chapter 2	Microprogram Control
2	2.1	Introduction
2	2.2	Microprogrammed Versus Conventional Control
2	2.3	Control Store
2	2.4	Branching Within Microroutines
2	2.5	Microprogram Flow
3	2.5.1	Flow Chart Notation
3	2.5.2	Interrupts and Traps
3	2.5.3	Console Functions
2	2.6	Microprogram Symbolic Listing
2	2.7	Microprogram Binary Listing
2	2.8	Microprogram Cross Reference Listing
1	Chapter 3	Console Description
2	3.1	Introduction
2	3.2	General Description
3	3.2.1	ADDRESS/DATA Register Logic
3	3.2.2	Control Switch Logic
2	3.3	Detailed Description
3	3.3.1	Multiplexer
3	3.3.2	Clock
3	3.3.3	Counter
3	3.3.4	Display Buffer and Driver
3	3.3.5	Control Switches and Logic
4	3.3.5.1	Normal Operating Mode
4	3.3.5.2	Panel Lock Mode
4	3.3.5.3	Power Loss During Operation
1	Chapter 4	KD11-B Detailed Description
2	4.1	Introduction
2	4.2	ROMs As Generalized Gates
2	4.3	KD11-B Data Path, Simplified Description
3	4.3.1	Data Path (DP) Detailed Description
3	4.3.2	DP Data Polarities
3	4.3.3	Control Logic and Microprogramming (CON)
3	4.3.4	A-Multiplexer
3	4.3.5	Arithmetic Logic Unit (ALU)
3	4.3.6	B Register
4	4.3.6.1	Functional Description
4	4.3.6.2	BLEG Operations That Provide Input to the ALU
4	4.3.6.3	BREG Shifting Operations
3	4.3.7	Byte Instructions
3	4.3.8	Scratch Pad Memory
3	4.3.9	Scratch Pad Memory Address Multiplexer
3	4.3.10	Processor Status Word Register
3	4.3.11	Constants Generator
3	4.3.12	Console Switch Register
3	4.3.13	Switch Register Multiplexers
3	4.3.14	Console Multiplexer
2	4.4	Instruction Decoding
3	4.4.1	Introduction
3	4.4.2	Double Operand Instructions
3	4.4.3	Branch On Unary
3	4.4.4	PDP-11 Branch Instructions
3	4.4.5	Operate Instructions
3	4.4.6	Auxiliary ALU Control
2	4.5	Processor Clock
2	4.6	Unibus Control
3	4.6.1	DATI Timing
3	4.6.2	DATI Operation
4	4.6.2.1	DATIP Operation
4	4.6.2.2	DATIP Logic
3	4.6.3	DATO
3	4.6.4	Byte Operations
3	4.6.5	Bus Errors
2	4.7	Internal Unibus Addresses
2	4.8	Bus Requests
2	4.9	Non-Processor Requests (NPR)
2	4.10	Serial Communications Line Description (SCL)
2	4.11	Baud Rate Adjustment
2	4.12	Line Clock
3	4.12.1	Introduction
3	4.12.2	Flag Control
3	4.12.3	Interrupt Control
2	4.13	Power Fail
1	Chapter 5	KD11-B and Console Maintenance
2	5.1	Introduction
2	5.2	Diagnostics
2	5.3	Types of Failures
2	5.4	Suggested Equipment
2	5.5	Procedures
2	5.6	Adjustments
2	5.7	KD11-B Print Function Table
2	5.8	External Clock Inputs
2	5.9	KM11 Maintenance Panel
2	5.10	Using KM11 Maintenance Panel
2	5.11	Console Maintenance
