#PART DEC-11-HPWB-D
1	Chapter 1	Introduction
1	Chapter 2	General Description
2	2.1	Introduction
2	2.2	Functional Units
2	2.3	Modes of Operation
1	Chapter 3	Detailed Description
2	3.1	Introduction
2	3.2	Address Selector and Gating Control
2	3.3	Clock and Clock Control
3	3.3.1	Introduction
3	3.3.2	Clock
3	3.3.3	Clock Selection Logic
3	3.3.4	Counter Up/Down Logic
3	3.3.5	Counter Load Logic
2	3.4	Control and Status Register
2	3.5	Count Set Buffer and Counter
2	3.6	Interrupt Control
3	3.6.1	Introduction
3	3.6.2	Interrupt Operational Sequence
1	Chapter 4	Programming Information
2	4.1	Introduction
