#PART EK-DZ11-MM-PRE
1	Chapter 1	General Description
2	1.1	Introduction
2	1.2	Physical Description
3	1.2.1	DZ11 Configurations
3	1.2.2	General Specifications
2	1.3	Functional Description
3	1.3.1	PDP-11 Unibus Interface
3	1.3.2	Control Logic
3	1.3.3	Line Interface
1	Chapter 2	Installation
2	2.1	Scope
2	2.2	Configuration Differences
2	2.3	Unpacking and Inspection
2	2.4	Installation Procedure
1	Chapter 3	Programming
2	3.1	Introduction
2	3.2	Register Bit Assignments
3	3.2.1	Control and Status Register (CSR)
3	3.2.2	Receiver Buffer (RBUF)
3	3.2.3	Line Parameter (LPR)
3	3.2.4	Transmit Control (TCR)
3	3.2.5	Modem Status (MSR)
3	3.2.6	Transmit Data (TDR)
2	3.3	Programming Features
3	3.3.1	Baud Rate
3	3.3.2	Character Length
3	3.3.3	Stop Bits
3	3.3.4	Parity
3	3.3.5	Interrupts
3	3.3.6	Emptying the Silo
3	3.3.7	Transmitting a Character
3	3.3.8	Data Set Control
2	3.4	Programming Examples
1	Chapter 4	Detailed Description
2	4.1	Introduction
3	4.1.1	Modem-To-Unibus Data Flow (Receive)
3	4.1.2	Unibus-To-Modem Data Flow (Transmit)
2	4.2	Unibus Interface
3	4.2.1	Address Selection
4	4.2.1.1	Device Address Selection
4	4.2.1.2	Register and Mode Selection
3	4.2.2	Interrupt Control
4	4.2.2.1	Receiver Interrupt
4	4.2.2.2	Transmitter Interrupt
3	4.2.3	Data Tranceivers and Output Multiplexers
2	4.3	Scanner
3	4.3.1	Receive Control
3	4.3.2	Transmit Control
3	4.3.3	Silo and UART Clocks
2	4.4	Registers
3	4.4.1	Control and Status Register (CSR)
3	4.4.2	Receiver Buffer (RBUF)
3	4.4.3	Line Parameter Register (LPR)
3	4.4.4	Transmit Control Register (TCR)
3	4.4.5	Modem Status Register (MSR)
3	4.4.6	Transmit Data Register (TDR)
2	4.5	Universal Asynchronous Receiver-Transmitter (UART)
1	Chapter 5	Maintenance
2	5.1	Introduction
2	5.2	Preventive Maintenance
3	5.2.1	Mechanical Checks
3	5.2.2	Test Equipment Required
2	5.3	DZ11 Maintenance Software
3	5.3.1	DZ11 Diagnostic
4	5.3.1.1	Storage
4	5.3.1.2	Loading
4	5.3.1.3	Starting
4	5.3.1.4	Register Restrictions
4	5.3.1.5	Switch Register Priorities
4	5.3.1.6	Scope Switches
4	5.3.1.7	Starting Address
4	5.3.1.8	Operations Procedure
4	5.3.1.9	Program and/or Operator Action
3	5.3.2	DZ11 System Exerciser
4	5.3.2.1	Storage
3	5.3.3	DZ11 ITEP Overlay
2	5.4	Corrective Maintenance
3	5.4.1	DZ11 Test Procedures
4	5.4.1.1	Visual Inspection
4	5.4.1.2	Internal Loopback
4	5.4.1.3	Staggered Loopback
4	5.4.1.4	External
4	5.4.1.5	On-Line with Terminal
3	5.4.2	DZ11 Option Testing
3	5.4.3	System Checkout Procedure
3	5.4.4	Diagnostic Tests
1	Appendix A	Integrated Circuits
1	Appendix B	Glossary of Terms
1	Appendix C	Universal Asynchronous Receiver Transmitter (UART)
