#PART EK-KA655-TM-001
1	1	Overview
2	1.1	KA655 Central Processor Module
2	1.2	Clock Functions
2	1.3	Central Processing Unit
2	1.4	Floating-Point Accelerator
2	1.5	Cache Memory
2	1.6	Memory Controller
2	1.7	MicroVAX System Support Functions
2	1.8	Resident Firmware
2	1.9	Q22-bus Interface
2	1.10	MS650-BA Memory Modules
1	2	Installation and Configuration
2	2.1	Installing the KA655
2	2.2	Configuring the KA655
2	2.3	KA655 Connectors
3	2.3.1	Console SLU Connector (J1)
3	2.3.2	Configuration and Display Connector (J2)
3	2.3.3	Memory Expansion Connector (J3)
2	2.4	H3600-SA CPU Cover Panel
2	2.5	KA630CNF Configuration Board
1	3	Architecture
2	3.1	Central Processor
3	3.1.1	Processor State
4	3.1.1.1	General Purpose Registers
4	3.1.1.2	Processor Status Longword
4	3.1.1.3	Internal Processor Registers
3	3.1.2	Data Types
3	3.1.3	Instruction Set
3	3.1.4	Memory Management
4	3.1.4.1	Translation Buffer
4	3.1.4.2	Memory Management Control Registers
3	3.1.5	Exceptions and Interrupts
4	3.1.5.1	Interrupts
4	3.1.5.2	Exceptions
4	3.1.5.3	Information Saved on a Machine Check Exception
4	3.1.5.4	System Control Block
4	3.1.5.5	Hardware Detected Errors
4	3.1.5.6	Hardware Halt Procedure
3	3.1.6	System Identification
3	3.1.7	CPU References
4	3.1.7.1	Instruction-Stream Read References
4	3.1.7.2	Data-Stream Read References
4	3.1.7.3	Write References
2	3.2	Floating-Point Accelerator
3	3.2.1	Floating-Point Accelerator Instructions
3	3.2.2	Floating-Point Accelerator Data Types
2	3.3	Cache Memory
3	3.3.1	Cacheable References
3	3.3.2	First-Level Cache
4	3.3.2.1	First-Level Cache Organization
4	3.3.2.2	First-Level Cache Address Translation
4	3.3.2.3	First-Level Cache Data Block Allocation
4	3.3.2.4	First-Level Cache Behavior on Writes
4	3.3.2.5	Cache Disable Register
4	3.3.2.6	Memory System Error Register
4	3.3.2.7	First-Level Cache Error Detection
3	3.3.3	Second-Level Cache
4	3.3.3.1	Second-Level Cache Organization
4	3.3.3.2	Second-Level Cache Address Translation
4	3.3.3.3	Second-Level Cache Data Block Allocation
4	3.3.3.4	Second-Level Cache Behavior on Writes
4	3.3.3.5	Cache Control Register
