#PART AA-M186B-TC
1	1	Introduction
2	1.1	Scope of Book
2	1.2	Related Documentation
1	2	Removal and Replacement
2	2.1	Introduction
2	2.2	Location of Major Replaceable Units
1	3	Adjustments
2	3.1	Introduction
2	3.2	Belt Tension Adjustment
2	3.3	Servo Adjustments
1	4	Drive-Resident Diagnostics
2	4.1	Introduction
2	4.2	Diagnostic Controls and Indicators
3	4.2.1	Rotary Switches
3	4.2.2	ENTER/RESET Switch
4	4.2.2.1	The ENTER Position
4	4.2.2.2	The RESET Position
3	4.2.3	LED Display
2	4.3	Test-Select Codes
2	4.4	Prompt and Steady State Codes
2	4.5	RA80 Utility and Diagnostic Procedures
1	5	Fault Isolation
2	5.1	Introduction
2	5.2	HDA Formatting Procedure
2	5.3	Subsystem Error Message Information
2	5.4	LED Error Codes Troubleshooting Charts
2	5.5	Power Supply Fault Isolation
2	5.6	Troubleshooting Tips
3	5.6.1	Check Firmware Revision and ROM Set Numbers
3	5.6.2	Testing the Write-Protect Function
3	5.6.3	Spindle Motor Thermal Timeouts
1	Appendix A	Conversion Charts
