#PART	AA-5428C-TC
#TITLE	DECgraphic-11 FORTRAN Programming Manual
1	Chapter 1	The DECgraphic-11 Systems
2	1.1	Introduction to DECgraphic-11
3	1.1.1	Overview of the Manual
3	1.1.2	Documentation Conventions
3	1.1.3	Summary of DECgraphic-11 System Capabilities
2	1.2	Hardware and Software Requirements
3	1.2.1	Generating an Operating System
3	1.2.2	Hardware for Stand-Alone Systems
3	1.2.3	Additional Host-Satellite Hardware Requirements
3	1.2.4	Baud Rates
3	1.2.5	General Software Requirements
2	1.3	Basic Graphic Concepts
3	1.3.1	The Display Screen
3	1.3.2	Menus
3	1.3.3	Coordinate Systems, Windows, and Viewports
3	1.3.4	Interaction and Tracking
2	1.4	DECgraphic-11 Programming Principles
3	1.4.1	Subpictures
3	1.4.2	Primitives
3	1.4.3	Pointers
3	1.4.4	Display Parameters
3	1.4.5	The Display File
3	1.4.6	Summary
1	Chapter 2	DECgraphic-11 FORTRAN Subroutines
2	2.1	Initializing and Controlling the Display File
3	2.1.1	INIT: Initializing the Display File
3	2.1.2	STOP: Stopping the Display
3	2.1.3	CONT: Restoring the Display
3	2.1.4	FREE: Releasing the Display-File Area
2	2.2	Choosing Screen Area and Scaling
3	2.2.1	SCOPE: Selecting a VS60 Display Scope
3	2.2.2	AREA: Selecting the Main or Menu Area
3	2.2.3	WINDW: Redefining the Window
3	2.2.4	NOWNDW: Restoring the Standard Coordinate System
3	2.2.5	VIEWPT: Redefining the VS60 Viewport
2	2.3	Creating Graphic Primitives
3	2.3.1	APNT: Displaying an Absolute Point
3	2.3.2	RPNT: Displaying a Relative Point
3	2.3.3	VECT: Drawing a Relative Vector
3	2.3.4	AVECT: Drawing an Absolute Vector
3	2.3.5	SVECT: Drawing a Vector in Short Format
3	2.3.6	LVECT: Drawing a Vector in Long Format
3	2.3.7	TEXT: Displaying a Text String
3	2.3.8	MENU: Displaying Items in the Menu Area
2	2.4	Defining and Using Subpictures
3	2.4.1	SUBP: Defining a Subpicture
3	2.4.2	ESUB: Terminating a Subpicture
3	2.4.3	COPY: Copying a Subpicture
3	2.4.4	OFF: Turning Off a Subpicture
3	2.4.5	ON: Turning On a Subpicture
3	2.4.6	ERAS: Erasing a Subpicture
3	2.4.7	NMBR: Creating a Numeric Subpicture
3	2.4.8	CVSCAL: Scaling Subpicture Characters and Vectors
2	2.5	Displaying Graphs and Figures
3	2.5.1	XGRA: Displaying an X-Value Graph
3	2.5.2	YGRA: Displaying a Y-Value Graph
3	2.5.3	FIGR: Displaying a Figure
2	2.6	Using Display-File Pointers
3	2.6.1	POINTR: Setting Up a Pointer
3	2.6.2	ADVANC: Advancing a Pointer
3	2.6.3	GET: Returning the Coordinates of a Primitive
3	2.6.4	CHANGE: Changing the Coordinates of a Primitive
3	2.6.5	CHANGA: Changing a Primitive and Adjusting the Next Primitive
3	2.6.6	CHANGT: Changing the Value of a Text Primitive
3	2.6.7	INSRT: Inserting Primitives in the Display File
3	2.6.8	ERASP: Erasing a Primitive
2	2.7	Changing Display Parameters
3	2.7.1	SENSE: Setting the Light-Pen Parameter
3	2.7.2	INTENS: Setting the Intensity Parameter
3	2.7.3	FLASH: Setting the Flash-Mode Parameter
3	2.7.4	LINTYP: Setting the Line-Type Parameter
2	2.8	Interacting With the Display
3	2.8.1	LPEN: Recording a Light-Pen Hit
3	2.8.2	TRAK: Placing a Tracking Object on the Screen
3	2.8.3	TRAKXY: Returning the Coordinates of the Tracking Object
3	2.8.4	ATTACH: Attaching a Primitive to the Tracking Object
3	2.8.5	DETACH: Detaching Primitives From the Tracking Object
3	2.8.6	GRID: Positioning the Tracking Object on the Grid
2	2.9	Polling Interactive Devices
3	2.9.1	GRATTN: Graphic-Attention Handling
2	2.10	Using the Optional Pushbutton Box
3	2.10.1	PBS: Checking the Status of the Pushbuttons
3	2.10.2	PBH: Checking for a Pushbutton Hit
3	2.10.3	PBL: Generating the Pushbutton Lights
2	2.11	Controlling the Keyboard
3	2.11.1	KBC: Reading a Character from the Keyboard
3	2.11.2	KBS: Reading a String from the Keyboard
3	2.11.3	TTW: Displaying Strings on the User's Terminal
2	2.12	Controlling the Overall Display
3	2.12.1	DISPLY: Rapid Creation of Display Files
2	2.13	Compressing, Saving, and Restoring the Display File
3	2.13.1	CMPRS: Compressing the Display File
3	2.13.2	SAVE: Saving the Display File
3	2.13.3	RSTR: Restoring the Display File
2	2.14	Inserting Advanced Display-File Instructions
3	2.14.1	DPTR: Returning the Next Available Display-File Position
3	2.14.2	DPYNOP: Inserting No-Operation Instructions in the Display File
3	2.14.3	DPYWD: Inserting a Data Word in the Display File
1	Chapter 3	Programming Techniques
2	3.1	Subpicture Techniques
3	3.1.1	Using Subpictures Like Subroutines
3	3.1.2	Creating "All-at-Once" Displays
3	3.1.3	Moving Subpictures on the Screen
3	3.1.4	Creating Odometer Displays
2	3.2	General Graphic Techniques
3	3.2.1	Choosing the Appropriate Vector Format
3	3.2.2	Ordering Picture Elements
3	3.2.3	Monitoring the Display File
3	3.2.4	Avoiding a Temporary Loss of a Display
3	3.2.5	Using DPYWD and DISPLY to Speed Up Instruction Input
1	Chapter 4	Instructions for RT-11 Users
2	4.1	Building a FORTRAN Graphics Library
2	4.2	Linking Programs to the DECgraphic-11 FORTRAN Graphics Package
1	Chapter 5	Instructions For RSX-11 and IAS Users
2	5.1	Building DECgraphic-11 Libraries
3	5.1.1	Contents of the Software Kit
3	5.1.2	Summary of Hardware/Software Configurations
3	5.1.3	Copying the Software Kit
3	5.1.4	Compiling and Linking COND
3	5.1.5	RSX-11M Stand-Alone Systems
3	5.1.6	IAS, RSX-11M, and RSX-11D Host-Satellite Systems
2	5.2	Creating Graphic Tasks
3	5.2.1	RSX-11M Stand-Alone Systems
3	5.2.2	RSX-11M, RSX-11D, and IAS Host-Satellite Systems
2	5.3	Host-Satellite Systems
3	5.3.1	The Host-Satellite Concept
3	5.3.2	The Host-Satellite Software
3	5.3.3	Running Host-Satellite Graphic Tasks
3	5.3.4	Special Precautions for Host-Satellite Programming
3	5.3.5	Special Uses of Satellite Keyboard Characters
1	Appendix A	DECgraphic-11 Subroutine Summary
1	Appendix B	DECgraphic-11 Error Messages
1	Appendix C	Display-File Structure
1	Appendix D	FORTRAN Programming Examples
2	D.1	DRAW.FOR
2	D.2	DRAWH.FTN (Host-Satellite Only)
2	D.3	DRAWS.FTN (Host-Satellite Only)
2	D.4	Using the DRAW Program
2	D.5	Program Listings
