#PART	DEC-11-GFRMA-A-D
#TITLE	DECgraphic-11 FORTRAN Reference Manual
1	Chapter 1	The DECgraphic-11 Systems
2	1.1	Introduction to DECgraphic-11
3	1.1.1	Overview of the Manual
3	1.1.2	Documentation Conventions
3	1.1.3	Overview of DECgraphic-11 System Capabilities
2	1.2	Hardware/Software Environment
2	1.3	Basic Graphics Concepts
3	1.3.1	The Display Screen
3	1.3.2	The Display File
3	1.3.3	Display Primitives
3	1.3.4	Subpicture Definitions
3	1.3.5	Display File Pointers
3	1.3.6	User Coordinate Systems and Windows
3	1.3.7	Light Pen Interaction and Tracking
2	1.4	Graphics Subroutines
3	1.4.1	Initializing and Controlling the Display File
3	1.4.2	Setting Screen and Scaling Primitives
3	1.4.3	Generating Graphics Primitives
3	1.4.4	Defining and Using Subpictures
3	1.4.5	Displaying Graphs and Figures
3	1.4.6	Using Display File Pointers
3	1.4.7	Altering Display File Status Parameters
3	1.4.8	Facilitating Light Pen Interaction
3	1.4.9	Performing Display File Utility Functions
3	1.4.10	Performing Advanced Display File Functions
1	Chapter 2	DECgraphic-11 Graphics Subroutines
2	2.1	Initializing and Controlling the Display File
3	2.1.1	INIT: Initializing the Display File
3	2.1.2	STOP: Stopping the Display
3	2.1.3	CONT: Restoring the Display
3	2.1.4	FREE: Clearing the Display File Area
2	2.2	Setting Screen and Scaling Parameters
3	2.2.1	SCOPE: Selecting a Display Scope
3	2.2.2	AREA: Selecting the Main or Menu Area
3	2.2.3	SCAL: Defining a User Coordinate System
3	2.2.4	NOSC: Restoring the Standard Coordinate System
3	2.2.5	WINDOW: Establishing a Display Screen Window
2	2.3	Generating Graphics Primitives
3	2.3.1	APNT: Displaying an Absolute Point
3	2.3.2	RPNT: Displaying a Relative Point
3	2.3.3	VECT: Drawing a Relative Vector
3	2.3.4	AVECT: Drawing an Absolute Vector
3	2.3.5	SVECT: Drawing a Vector in Short Format
3	2.3.6	LVECT: Drawing a Vector in Long Format
3	2.3.7	TEXT: Displaying a Character String
3	2.3.8	MENU: Displaying Items in the Menu Area
2	2.4	Defining and Using Subpictures
3	2.4.1	SUBP: Defining a Subpicture
3	2.4.2	ESUB: Terminating a Subpicture
3	2.4.3	COPY: Copying a Subpicture
3	2.4.4	OFF: Turning Off a Subpicture
3	2.4.5	ON: Turning On a Subpicture
3	2.4.6	ERAS: Erasing a Subpicture
3	2.4.7	NMBR: Creating a Numeric Subpicture
3	2.4.8	CVSCAL: Scaling Subpicture Characters and Vectors
2	2.5	Displaying Graphs and Figures
3	2.5.1	XGRA: Displaying an X-Axis Graph
3	2.5.2	YGRA: Displaying a Y-Axis Graph
3	2.5.3	FIGR: Displaying a Figure
3	2.5.4	AGET: Returning the Value of a Primitive
3	2.5.5	APUT: Changing the Value of a Primitive
3	2.5.6	FPUT: Changing and Adjusting the Value of a Primitive
2	2.6	Using Display File Pointers
3	2.6.1	POINTR: Setting Up a Pointer
3	2.6.2	ADVANC: Advancing a Pointer
3	2.6.3	GET: Returning the Coordinates of a Primitive
3	2.6.4	CHANGE: Changing the Coordinates of a Primitive
3	2.6.5	CHANGA: Changing a Primitive and Adjusting the Next Primitive
3	2.6.6	CHANGT: Changing the Value of a Character Primitive
3	2.6.7	INSERT: Inserting Graphic Elements in the Display File
3	2.6.8	ERASP: Erasing a Primitive
2	2.7	Altering Display File Status Parameters
3	2.7.1	SENSE: Setting the Light Pen Parameter
3	2.7.2	INTENS: Setting the Intensity Parameter
3	2.7.3	FLASH: Setting the Flash-Mode Parameter
3	2.7.4	LINTYP: Setting the Line-Type Parameter
2	2.8	Facilitating Light Pen Interaction
3	2.8.1	LPEN: Recording a Light Pen Hit
3	2.8.2	TRAK: Placing a Tracking Object on the Screen
3	2.8.3	TRAKXY: Returning the Position of the Tracking Object
3	2.8.4	ATTACH: Attaching a Primitive to the Tracking Object
3	2.8.5	DETACH: Detaching a Primitive from the Tracking Object
3	2.8.6	GRID: Positioning the Tracking Object on the Grid
2	2.9	Performing Display File Utility Functions
3	2.9.1	CMPRS: Compressing the Display File
3	2.9.2	SAVE: Saving the Display File
3	2.9.3	RSTR: Restoring the Display File
2	2.10	Performing Advanced Display File Functions
3	2.10.1	DPTR: Returning the Next Available Display File Position
3	2.10.2	DPYNOP: Inserting No-ops in the Display File
3	2.10.3	DPYWD: Inserting a Data Word in the Display File
1	Chapter 3	Programming Techniques
2	3.1	Subpicture Techniques
3	3.1.1	Using Subpictures as Subroutines
3	3.1.2	Creating Complete Displays
3	3.1.3	Attaching a Subpicture
3	3.1.4	Using NMBR for Odometer Output
2	3.2	General Graphics Techniques
3	3.2.1	Specifying Vector Formats
3	3.2.2	Ordering Display Elements
3	3.2.3	Controlling Display File Size
1	Chapter 4	The RT-11 Operating Environment
2	4.1	Building the DECgraphic-11 Libraries
3	4.1.1	Binary Kit
3	4.1.2	Source Kit
2	4.2	Linking User Programs
2	4.3	Performing USR Operations
2	4.4	Sample Procedures
3	4.4.1	VT11 Procedures
3	4.4.2	VS60 Procedures
1	Chapter 5	The RSX-11M Operating Environment
2	5.1	Introduction to Supplied Software
2	5.2	Operation Under RSX-11M
3	5.2.1	Building Your DECgraphic-11 Library
3	5.2.2	Writing and Running Your Own DECgraphic-11 Programs
1	Appendix A	DECgraphic-11 Subroutine Summary
1	Appendix B	DECgraphic-11 Error Messages
1	Appendix C	Display File Structure
1	Appendix D	FORTRAN Programming Example
1	Appendix E	Differences Between the DECgraphic-11 and RT-11 Graphics Extension Packages
1	Appendix F	Differences Between DECgraphic-11 and RSX-11M/FORTRAN Graphic Extensions
