#PART	DEC-11-HDBA-D
#TITLE	DB11-A Bus Repeater Manual
1	Chapter 1	General Description
2	1.1	Introduction
2	1.2	Functional Description
2	1.3	DB11 Specifications
2	1.4	Related Documents
1	Chapter 2	Installation Planning
2	2.1	Introduction
2	2.2	Physical Description
2	2.3	Bus and Power Connections
2	2.4	Installation Testing
1	Chapter 3	Detailed Description
2	3.1	Introduction
2	3.2	Bus Repeater Logic
2	3.3	Unidirectional Line Logic
2	3.4	A Line Logic
2	3.5	D Line Logic
1	Chapter 4	Maintenance
2	4.1	Introduction
2	4.2	Procedures
