#PART	DEC-11-HKBB-D
#TITLE	KB11-A Central Processor Unit Maintenance Manual
1	Chapter 1	General Description
2	1.1	System Description
3	1.1.1	The Basic System
3	1.1.2	A Faster Basic System
3	1.1.3	A Virtual Machine System
3	1.1.4	Expanded Systems
2	1.2	Functional Description
3	1.2.1	Data Manipulation
3	1.2.2	Transferring Data
3	1.2.3	Handling Instructions
3	1.2.4	Handling Asynchronous Conditions
1	Chapter 2	Address Modes and Instruction Set
2	2.1	Address Modes
2	2.2	KB11-A Instructions
1	Chapter 3	Operation
2	3.1	Console Controls and Indicators
2	3.2	Power On
3	3.2.1	ENABL Function
3	3.2.2	HALT Function
2	3.3	Console Operations
3	3.3.1	HALT Switch Functions
4	3.3.1.1	HALT/CONT with S INST
4	3.3.1.2	HALT/CONT with S BUS CYCLE
3	3.3.2	EXAM Switch Functions
3	3.3.3	DEP Switch Functions
3	3.3.4	REG EXAM and REG DEP Functions
2	3.4	Address Display Select
3	3.4.1	PROG PHY Function
3	3.4.2	CONS PHY Function
3	3.4.3	USER, SUPER, or KERNEL Functions
2	3.5	How to Load and Run Programs
3	3.5.1	Loading the PDP-11 Bootstrap Loader
3	3.5.2	Loading the PDP-11 Absolute Binary Loader
3	3.5.3	Loading the Maintenance Loader
1	Chapter 4	Principles of Operation
2	4.1	Microprogramming
3	4.1.1	Digital Computer Description
3	4.1.2	The Data Section
4	4.1.2.1	The Data Storage Section
4	4.1.2.2	The Data Manipulation Section
4	4.1.2.3	The Data Routing Section
4	4.1.2.4	The Data Section in the KB11-A
3	4.1.3	The Control Section
4	4.1.3.1	The Sequence Control Section
4	4.1.3.2	The Function Generator
4	4.1.3.3	The Sensing Logic
4	4.1.3.4	The Control Section in the KB11-A
3	4.1.4	Microprogramming in the Control Section Implementation
4	4.1.4.1	Conventional Implementation
4	4.1.4.2	Microprogrammed Implementation
2	4.2	Parallel Operation (Pipelining)
2	4.3	Virtual Machines
3	4.3.1	Mapping
3	4.3.2	Resource Management
4	4.3.2.1	Processor Management
4	4.3.2.2	Memory Management
4	4.3.2.3	Memory Use Statistics
3	4.3.3	Communication
4	4.3.3.1	Context Switching
4	4.3.3.2	Inter-Program Data Transfers
4	4.3.3.3	Returning to the Previous Context
3	4.3.4	Protection
4	4.3.4.1	Separate Address Spaces
4	4.3.4.2	Access Modes
4	4.3.4.3	Privileged Instructions
2	4.4	Re-Entrant and Recursive Programming
3	4.4.1	Recursive Functions
3	4.4.2	Use of a Stack in Recursive Routines
3	4.4.3	Re-Entrant Functions
3	4.4.4	Indexed Addressing of Parameters
3	4.4.5	Separate Stack and Index Pointers
3	4.4.6	Subroutine Call Compatibility
3	4.4.7	The MARK Instruction
2	4.5	Processor Status Operation
3	4.5.1	Current Processor Mode
3	4.5.2	Previous Processor Mode
3	4.5.3	Register Set Selection
3	4.5.4	Processor Priority
4	4.5.4.1	Device Priorities
4	4.5.4.2	Program Priorities
4	4.5.4.3	Programmed Interrupt Requests
3	4.5.5	The Trace Bit
3	4.5.6	The Condition Codes
2	4.6	Stack Limit Protection
2	4.7	The Multiply and Divide Instructions
3	4.7.1	Number Representation
3	4.7.2	The Multiply Algorithm
3	4.7.3	Sign Correction During Multiplication
3	4.7.4	The Divide Instruction
1	Chapter 5	Block Diagram Description
2	5.1	Data Paths Block Diagram
2	5.2	General Storage Registers
3	5.2.1	Program Counter (PC)
3	5.2.2	Stack Pointers (SP)
3	5.2.3	General Register Sets
2	5.3	Temporary Storage Registers
3	5.3.1	Source Register (SR)
3	5.3.2	Destination Register (DR)
3	5.3.3	Bus Register (BR and BRA)
2	5.4	Special Purpose Registers
3	5.4.1	Instruction Register (IR)
3	5.4.2	Shift Counter (SC)
3	5.4.3	Processor Status Register (PS)
3	5.4.4	Programmed Interrupt Request Register (PIRQ)
3	5.4.5	Stack Limit Register (SL)
3	5.4.6	Microprogram Break Register (PB)
3	5.4.7	Console Switches (SW) and Light Register (LR)
2	5.5	Data Manipulation
3	5.5.1	Arithmetic and Logic Unit (ALU)
3	5.5.2	Shifter (SHFR)
3	5.5.3	Constant Multiplexers (K0MX, K1MX)
3	5.5.4	Destination Register (DR)
3	5.5.5	Shift Counter (SC)
2	5.6	Data Routing Elements
3	5.6.1	ALU Interface Multiplexers
3	5.6.2	Temporary Storage Register Input Multiplexers
3	5.6.3	External Interface Multiplexers
2	5.7	Control Section
3	5.7.1	ROM Microprogram Control
3	5.7.2	External Interface Control
4	5.7.2.1	Unibus and Console Control (UBC) Module
4	5.7.2.2	Traps and Miscellaneous Control (TMC) Module
4	5.7.2.3	The Timing Generator (TIG) Module
2	5.8	Special Control Logic
3	5.8.1	Arithmetic and Logic Unit (ALU) Control
3	5.8.2	Condition Code Control
3	5.8.3	General Register Control
1	Chapter 6	Microprogram Flow Diagrams
2	6.1	How to Read the Flowcharts
3	6.1.1	Machine State Description
3	6.1.2	Machine State Information in the ROM Map
3	6.1.3	Machine State Sequence Information
3	6.1.4	Sequence Symbols in the Flowcharts
4	6.1.4.1	Flow Lines
4	6.1.4.2	Connector Symbols
4	6.1.4.3	Branch Condition Symbols
3	6.1.5	Locating a Machine State in the Flowcharts
2	6.2	Flowchart Organization
3	6.2.1	Instruction Fetch
4	6.2.1.1	The Fetch States
4	6.2.1.2	Instruction Decoding
4	6.2.1.3	Source Modes 1 through 5
4	6.2.1.4	Move to Previous Space Instructions
4	6.2.1.5	Branch Instructions
3	6.2.2	Indexed Source Modes and Operate Instructions
4	6.2.2.1	Indexed Source Modes
4	6.2.2.2	Floating-Point Instructions
4	6.2.2.3	RTI and RTT Instructions
4	6.2.2.4	RTS Instruction
4	6.2.2.5	SOB Instruction
4	6.2.2.6	MARK Instruction
3	6.2.3	No Memory Reference Execution
4	6.2.3.1	Multiply and Divide with Destination Mode 0
4	6.2.3.2	E CLASS and Negate Instructions
4	6.2.3.3	RESET Instruction
4	6.2.3.4	HALT Instruction
4	6.2.3.5	WAIT Instruction
4	6.2.3.6	Processor Status Change Instructions
3	6.2.4	Destination Mode 0 Sequences
4	6.2.4.1	Not Register 7
4	6.2.4.2	Register 7
4	6.2.4.3	Floating-Point Instruction
3	6.2.5	Destination Modes 1 Through 3
4	6.2.5.1	Sequence Entry
4	6.2.5.2	Destination Modes 1 and 2
4	6.2.5.3	Destination Mode 3
3	6.2.6	Destination Modes 4 Through 7
4	6.2.6.1	Fork C Entries for Modes 4 and 5
4	6.2.6.2	Fork A Entry for Modes 4 and 5
4	6.2.6.3	Destination Modes 6 and 7 Entry
4	6.2.6.4	Ending Sequence
3	6.2.7	ASH, ASHC, and Floating-Point Instructions
4	6.2.7.1	ASH Instruction
4	6.2.7.2	ASHC Instruction
4	6.2.7.3	Condition Code Loading
4	6.2.7.4	ASHC Processing
4	6.2.7.5	Floating-Point Instructions
3	6.2.8	Multiply Instructions
4	6.2.8.1	Multiplication Setup
4	6.2.8.2	Multiplication Process
4	6.2.8.3	Multiplication Correction
3	6.2.9	Divide Instruction Sequence
4	6.2.9.1	Initial Setup
4	6.2.9.2	Negative Dividend Processing
4	6.2.9.3	Overflow Test and First Cycle
4	6.2.9.4	Division Process
4	6.2.9.5	Remainder Storage and Sign Check
4	6.2.9.6	Remainder Correction
4	6.2.9.7	Quotient Sign Change
3	6.2.10	Memory Reference Execution Sequences
4	6.2.10.1	Standard Execution
4	6.2.10.2	Negate Instructions
4	6.2.10.3	Shifter Instructions
