#PART	EK-AD11K-OP-001
#TITLE	AD11-K Analog to Digital Converter User Manual
1	Chapter 1	Description
2	1.1	General Description
2	1.2	Functional Description
2	1.3	A/D Converter Specifications
2	1.4	Packaging
2	1.5	Power Requirements
2	1.6	UNIBUS Loading
1	Chapter 2	User Interfacing
2	2.1	Connection
2	2.2	H322 Distribution Panel
2	2.3	Single-Ended and Pseudo-Differential Inputting
2	2.4	Single-Ended Analog Inputs
3	2.4.1	Grounded Inputs
3	2.4.2	Floating Inputs
2	2.5	True Differential Inputting
2	2.6	Twisted Pair Input
2	2.7	Shielded Input
2	2.8	Input Settling with High Source Inpedance
2	2.9	External Starts
2	2.10	Jumpers
2	2.11	Switches
2	2.12	Overflow or External Start Connection
1	Chapter 3	Programming
2	3.1	Register and Vector Addressing
2	3.2	Priority Level
2	3.3	Registers
3	3.3.1	Status Register
3	3.3.2	A/D Buffer Register
3	3.3.3	DAC Buffer
2	3.4	Programming Example
1		Glossary of A/D Terms
