#PART	EK-DCJ11-UG-PRE
#TITLE	DCJ11 Microprocessor User's Guide
1	Chapter 1	Architecture
2	1.1	Introduction
2	1.2	General-Purpose Registers
2	1.3	Processor Status Word
3	1.3.1	Processor Modes
3	1.3.2	Priority Levels
3	1.3.3	The Trace/Trap Bit
3	1.3.4	Condition Codes
3	1.3.5	Processor Status (PS) Protection
2	1.4	Interrupts and Traps
2	1.5	Halting DCJ11 Operation
2	1.6	Program Interrupt Request Register
2	1.7	CPU Error Register
2	1.8	Stack Protection
2	1.9	Floating-Point Arithmetic
2	1.10	Memory System Registers
2	1.11	Direct-Memory Access (DMA) Mechanism
1	Chapter 2	Pin Description
2	2.1	Introduction
2	2.2	Data/Address Lines (DAL<21:00>)
3	2.2.1	Upper Data/Address Lines (DAL<21:16>)
3	2.2.2	Lower Data/Address Lines (DAL<15:00>)
2	2.3	System Control Lines
3	2.3.1	Bank Select (BS<1:0>)
3	2.3.2	Address Input/Output (AIO<3:0>)
3	2.3.3	Buffer Control (BUFCTL)
3	2.3.4	Continue (CONT)
3	2.3.5	Data Valid (DV)
2	2.4	Timing Signals
3	2.4.1	Address Latch Enable (ALE)
3	2.4.2	Stretch Control (SCTL)
3	2.4.3	Strobe (STRB)
3	2.4.4	Clock 1 (CLK)
3	2.4.5	Clock 2 (CLK2)
2	2.5	Start/Stop Control
3	2.5.1	Initialize (INIT)
3	2.5.2	Halt (HALT)
2	2.6	Status Signals
3	2.6.1	Cache Miss (MISS)
3	2.6.2	Parity Error (PARITY)
3	2.6.3	Abort (ABORT)
3	2.6.4	Map Enable (MAP)
3	2.6.5	Predecode (PRDC)
2	2.7	Interrupt and DMA Control
3	2.7.1	Interrupt Request (IRQ<3:0>)
3	2.7.2	Direct-Memory Access Request (DMR)
3	2.7.3	Power Fail (PWRF)
3	2.7.4	Floating-Point Exception (FPE)
3	2.7.5	Event (EVENT)
2	2.8	Test Pins
3	2.8.1	Test 1 (TEST1)
3	2.8.2	Test 2 (TEST2)
2	2.9	Oscillator Pins
3	2.9.1	XTALI and XTALO Generation
2	2.10	Power Pins
3	2.10.1	Power (Vcc)
3	2.10.2	Ground (GND)
2	2.11	Pin Description Summary)
1	Chapter 3	Bus Cycles
2	3.1	Introduction
2	3.2	Duration of Bus Cycles
2	3.3	Bus Cycles Parts
2	3.4	Non-I/O (NIO) Cycle
2	3.5	Bus Read Cycle
2	3.6	Bus Write Cycle
2	3.7	General-Purpose (GP) Read Cycle
2	3.8	General-Purpose (GP) Write Cycle
2	3.9	Interrupt Acknowledge Cycle
2	3.10	DMA Requests and Grants
1	Chapter 4	Memory Management
2	4.1	Introduction
2	4.2	Addressing
2	4.3	I Space and D Space
2	4.4	Construction of a Physical Address
2	4.5	Management Registers
3	4.5.1	Page Address Registers (PARs)
3	4.5.2	Page Description Registers (PDRs)
4	4.5.2.1	Bypass Cache
4	4.5.2.2	Page Length Field (PLF)
4	4.5.2.3	Page Written
4	4.5.2.4	Expansion Direction (ED)
4	4.5.2.5	Access Control Field
4	4.5.2.6	Reserved Bits
2	4.6	Interrupt Conditions Under Memory Management Control
2	4.7	Fault Recovery Registers
3	4.7.1	Memory Management Register #0 (MMR0)
4	4.7.1.1	Error Flags
5	4.7.1.1.1	Abort -- Non-Resident
5	4.7.1.1.2	Abort -- Page Length
5	4.7.1.1.3	Abort -- Read Only
4	4.7.1.2	Reserved Bits
4	4.7.1.3	Processor Mode
4	4.7.1.4	Page Address Space
4	4.7.1.5	Page Number
4	4.7.1.6	Enable Relocation
