#PART	EK-FPF11-TM-001
#TITLE	FPF11 Floating-Point Processor Technical Manual
1	Chapter 1	Introduction
2	1.1	General
2	1.2	Features of the FPF11
2	1.3	Architecture
2	1.4	Specifications
2	1.5	Related Documents
1	Chapter 2	Review of Floating-Point Numbers
2	2.1	Introduction
2	2.2	Integers
2	2.3	Floating-Point Numbers
2	2.4	Normalization
2	2.5	Floating-Point Addition and Subtraction
2	2.6	Floating-Point Multiplication and Division
1	Chapter 3	Data Formats
2	3.1	Introduction
2	3.2	FPF11 Integer Formats: Short and Long
2	3.3	FPF11 Floating-Point Formats: Single and Double Precision
3	3.3.1	FPF11 Floating-Point Data Word
4	3.3.1.1	Floating-Point Fraction
4	3.3.1.2	Floating-Point Exponent
2	3.4	FPF11 Program Status Register
2	3.5	Processing of Floating-Point Exceptions
1	Chapter 4	Floating-Point Instructions
2	4.1	Floating-Point Accumulators
2	4.2	Instruction Formats
2	4.3	Instruction Set
3	4.3.1	Arithmetic Instructions
3	4.3.2	Floating Modulo Instruction
3	4.3.3	Load Instruction
3	4.3.4	Store Instruction
3	4.3.5	Load Convert Double-to-Floating, Floating-to-Double Instructions
3	4.3.6	Store Convert Double-to-Floating, Floating-to-Double Instructions
3	4.3.7	Clear Instruction
3	4.3.8	Test Instruction
3	4.3.9	Absolute Instruction
3	4.3.10	Negate Instruction
3	4.3.11	Load Exponent Instruction
3	4.3.12	Load Convert Integer-to-Floating Instruction
3	4.3.13	Store Exponent Instruction
3	4.3.14	Store Convert Floating-to-Integer Instruction
3	4.3.15	Load FPF11's Program Status (LDFPS) Instruction
3	4.3.16	Store FPF11's Program Status (STFPS) Instruction
3	4.3.17	Store FPF11's Status (STFPS) Instruction
3	4.3.18	Copy Floating Condition Codes (CFCC) Instruction
3	4.3.19	Set Floating Mode (SETF) Instruction
3	4.3.20	Set Double Mode (SETD) Instruction
3	4.3.21	Set Integer Mode (SETI) Instruction
3	4.3.22	Set Long-Integer Mode (SETL) Instruction
2	4.4	FPF11 Programming Examples
1	Chapter 5	Functional Description
2	5.1	General
2	5.2	Overview
2	5.3	FPF11 Control and Data Flow Description
3	5.3.1	Microcontroller: Sequencer and Control Store
3	5.3.2	MIB Interface
4	5.3.2.1	Receiving Logic (from the CPU)
4	5.3.2.2	Transmitting Logic (to the CPU)
3	5.3.3	Interface Control and Clock Logic
4	5.3.3.1	Interface Clock Logic
4	5.3.3.2	Clock Logic
3	5.3.4	DAL Interface
3	5.3.5	TBus Resources
4	5.3.5.1	Floating-Point Instruction Register (FPIR)
4	5.3.5.2	FD/FL Register
4	5.3.5.3	Floating-Point Status (FPS) Register
4	5.3.5.4	Status Flags Register
4	5.3.5.5	Constant ROMs
4	5.3.5.6	Counter
3	5.3.6	Microprocessor Data Path Logic
4	5.3.6.1	Address Multiplexers
4	5.3.6.2	Shift Linkage Logic
4	5.3.6.3	Fast Carry Logic
4	5.3.6.4	AM2901 Bipolar Microprocessor
1	Chapter 6	Inspection and Installation
2	6.1	General
2	6.2	Inspection
2	6.3	Installation Procedure
1	Chapter 7	Maintenance
2	7.1	FPF11 Diagnostics
3	7.1.1	MAINDEC CJFPAA (FPF11, No. 1)
3	7.1.2	MAINDEC CJFPBA (FPF11, No. 2)
