#PART	EK-KB11A-MM-004
#TITLE	KB11-A,D Central Processor Unit Maintenance Manual
1	Chapter 1	Introduction
2	1.1	General
2	1.2	KB11-D vs. KB11-A
2	1.3	Related Documents
1	Chapter 2	General Description
2	2.1	Basic System Description
3	2.1.1	A Faster Basic System
3	2.1.2	A Virtual Machine System
2	2.2	Functional Description
3	2.2.1	Data Manipulation
3	2.2.2	Transferring Data
3	2.2.3	Handling Instructions
3	2.2.4	Handling Asynchronous Conditions
1	Chapter 3	Concepts
2	3.1	Microprogramming
3	3.1.1	Digital Computer Description
3	3.1.2	The Data Section
4	3.1.2.1	The Data Storage Section
4	3.1.2.2	The Data Manipulation Section
4	3.1.2.3	The Data Routing Section
4	3.1.2.4	The Data Section in the KB11-A, D
3	3.1.3	The Control Section
4	3.1.3.1	The Sequence Control Section
4	3.1.3.2	The Function Generator
4	3.1.3.3	The Sensing Logic
4	3.1.3.4	The Control Section in the KB11-A, D
3	3.1.4	Microprogramming in the Control Section Implementation
4	3.1.4.1	Conventional Implementation
4	3.1.4.2	Microprogrammed Implementation
2	3.2	Parallel Operation (Pipelining)
2	3.3	Virtual Machines
3	3.3.1	Mapping
3	3.3.2	Resource Management
4	3.3.2.1	Process Management
4	3.3.2.2	Memory Management
4	3.3.2.3	Memory Use Statistics
3	3.3.3	Communication
4	3.3.3.1	Context Switching
4	3.3.3.2	Inter-Program Data Transfers
4	3.3.3.3	Returning to the Previous Context
3	3.3.4	Protection
4	3.3.4.1	Separate Address Spaces
4	3.3.4.2	Access Modes
4	3.3.4.3	Privileged Instructions
2	3.4	Re-Entrant and Recursive Programming
3	3.4.1	Recursive Functions
3	3.4.2	Use of a Stack in Recursive Routines
3	3.4.3	Re-Entrant Functions
3	3.4.4	Indexed Addressing of Parameters
3	3.4.5	Separate Stack and Index Pointers
3	3.4.6	Subroutine Call Compatibility
3	3.4.7	The MARK Instruction
2	3.5	Processor Status Operations
3	3.5.1	Current Processor Mode
3	3.5.2	Previous Processor Mode
3	3.5.3	Register Set Selection
3	3.5.4	Processor Priority
4	3.5.4.1	Device Priorities
4	3.5.4.2	Program Priorities
4	3.5.4.3	Programmed Interrupt Requests
3	3.5.5	The Trace Bit
3	3.5.6	The Condition Codes
2	3.6	Stack Limit Protection
2	3.7	The Multiply and Divide Instructions
3	3.7.1	Number Representation
3	3.7.2	The Multiply Algorithm
3	3.7.3	Sign Correction During Multiplication
3	3.7.4	The Divide Instruction
1	Chapter 4	Block Diagram Description
2	4.1	Data Paths Block Diagram
2	4.2	General Storage Registers
3	4.2.1	Program Counter (PC)
3	4.2.2	Stack Pointers (SP)
3	4.2.3	General Register Sets
2	4.3	Temporary Storage Registers
3	4.3.1	Source Register (SR)
3	4.3.2	Destination Register (DR)
3	4.3.3	Bus Register (BR and BRA)
2	4.4	Special Purpose Registers
3	4.4.1	Instruction Register (IR)
3	4.4.2	Shift Counter (SC)
3	4.4.3	Processor Status Register (PS)
3	4.4.4	Programmed Interrupt Request Register (PIRQ)
3	4.4.5	Stack Limit Register (SL)
3	4.4.6	Microprogram Break Register (PB)
3	4.4.7	Console Switches (SW) and Light Register (LR)
2	4.5	Data Manipulation
3	4.5.1	Arithmetic and Logic Unit (ALU)
3	4.5.2	Shifter (SHFR)
3	4.5.3	Constant Multiplexers (K0MX, K1MX)
3	4.5.4	Destination Register (DR)
3	4.5.5	Shift Counter (SC)
2	4.6	Data Routing Elements
3	4.6.1	ALU Interface Multiplexers
3	4.6.2	Temporary Storage Register Input Multiplexers
3	4.6.3	External Interface Multiplexers
2	4.7	Control Section
3	4.7.1	ROM Microprogram Control
3	4.7.2	External Interface Control
4	4.7.2.1	Unibus and Console Control (UBC) Module
4	4.7.2.2	Traps and Miscellaneous Control (TBC) Module
4	4.7.2.3	The Timing Generator (TIG) Module
2	4.8	Special Control Logic
3	4.8.1	Arithmetic and Logic Unit (ALU) Control
3	4.8.2	Condition Code Control
3	4.8.3	General Register Control
1	Chapter 5	Address Modes and Instruction Sets
2	5.1	Address Modes
2	5.2	KB11-A, D Instructions
2	5.3	KB11-A, D Instruction Time
3	5.3.1	Approaches -- Typical/Minimum/Maximum/Measured
3	5.3.2	Steps to Calculate Instruction Times
4	5.3.2.1	Step 1: Subcycle Times
4	5.3.2.2	Step 2: Cycle Times
4	5.3.2.3	Step 3: Instruction Time
3	5.3.3	Determining Subcycle Times
4	5.3.3.1	MSYN Generation Time (TMS)
4	5.3.3.2	MSYN Generation Time Delayed (TMSD)
4	5.3.3.3	MM11-L Access Time (TA)
4	5.3.3.4	MM11-L Cycle Time (TC)
4	5.3.3.5	Unibus Propagation Delay (TP)
4	5.3.3.6	SSYN Resync Time (TSS)
3	5.3.4	Calculating Cycle Times
4	5.3.4.1	DATI and DATIP
4	5.3.4.2	DATO
4	5.3.4.3	DATI or DATIP with Immediately Previous DATO
4	5.3.4.4	DATI or DATIP with Immediately Previous DATI
4	5.3.4.5	DATO with Immediately Previous DATI
4	5.3.4.6	DATO with Immediately Previous DATO
4	5.3.4.7	DATO (with TMSD)
3	5.3.5	Example of Calculating an Instruction Time
4	5.3.5.1	Step 1
4	5.3.5.2	Step 2
4	5.3.5.3	Step 3
3	5.3.6	Comments on the Instruction Times Table (PDP-11/04, 05, 10, 35, 40, 45 Processor Handbook)
3	5.3.7	KB11-A, D Cycle Delays and Speed Variation
4	5.3.7.1	Basic Memory Cycle
4	5.3.7.2	Effect of Previous Cycle Memory Busy
4	5.3.7.3	Fast Processor
4	5.3.7.4	Slow Processor
1	Chapter 6	Operation
2	6.1	Console Controls and Indicators
2	6.2	Power On
3	6.2.1	ENABL Function
3	6.2.2	HALT Function
2	6.3	Console Operations
3	6.3.1	HALT Switch Functions
4	6.3.1.1	HALT/CONT with S INST
4	6.3.1.2	HALT/CONT with S BUS CYCLE
3	6.3.2	EXAM Switch Functions
3	6.3.3	DEP Switch Functions
3	6.3.4	REG EXAM and REG DEP Functions
2	6.4	Address Display Select
3	6.4.1	PROG PHY Function
3	6.4.2	CONS PHY Function
3	6.4.3	USER, SUPER, or KERNEL Functions
2	6.5	How To Load And Run Programs
3	6.5.1	Loading the PDP-11 Bootstrap Loader
3	6.5.2	Loading the PDP-11 Absolute Binary Loader
3	6.5.3	Loading the Maintenance Loader
1	Chapter 7	KB11-A, D Flows
2	7.1	Flow Diagrams
3	7.1.1	ROM Timing
3	7.1.2	Glossary
2	7.2	A and C Forks: Operand Fetch
2	7.3	Flowchart Description
3	7.3.1	Flows 1
3	7.3.2	Flows 2
3	7.3.3	Flows 3
3	7.3.4	Flows 4
3	7.3.5	Flows 5
3	7.3.6	Flows 6
3	7.3.7	Flows 7
3	7.3.8	Flows 8
3	7.3.9	Flows 9 and 10
3	7.3.10	Flows 11
3	7.3.11	Flows 12 and 13
3	7.3.12	Flows 14
2	7.4	Following An Instruction Through the Flowcharts
3	7.4.1	Figures and Tables
1	Chapter 8	Logic Description
