#PART	EK-KDFEB-UG-001
#TITLE	KDF11-BA CPU Module User's Guide
1	Chapter 1	Specifications
2	1.1	Introduction
2	1.2	Features
2	1.3	Specifications
2	1.4	Processor Hardware
3	1.4.1	General-Purpose Registers
3	1.4.2	Bus Cycles
3	1.4.3	Addressing Memory and Peripherals
3	1.4.4	Memory Management
3	1.4.5	Processor Status Word (PS)
4	1.4.5.1	Condition Codes (PS bits <3:0>)
4	1.4.5.2	Trace Bit (PS bit <4>)
4	1.4.5.3	Priority Level (PS bits <7:5>)
4	1.4.5.4	Suspended Instruction (SI) (PS bit <8>)
4	1.4.5.5	Previous Mode (PS bits <13:12>)
4	1.4.5.6	Current Mode (PS bits <15:14>)
2	1.5	Instruction Set
2	1.6	Floating-Point Option
2	1.7	Commercial Instruction Set Option
2	1.8	Memories and Peripherals
2	1.9	Related Documents
1	Chapter 2	Installation
2	2.1	Introduction
2	2.2	Jumper and Switch Configuration
3	2.2.1	Test Jumpers
4	2.2.1.1	Manufacturing Test Jumpers
4	2.2.1.2	UART Test Jumper
4	2.2.1.3	Field Service Test Jumper
3	2.2.2	CPU Option Jumpers
4	2.2.2.1	Power-Up Mode Selection
4	2.2.2.2	Halt/Trap Option
3	2.2.3	On-Board Device Selection Jumpers
3	2.2.4	Bootstrap/Diagnostic Switches and Jumpers
4	2.2.4.1	Bootstrap/Diagnostic Configuration Switches
4	2.2.4.2	Bootstrap/Diagnostic ROM Jumpers
3	2.2.5	Console SLU Switch and Jumper Configurations
4	2.2.5.1	Console SLU Baud Rates
4	2.2.5.2	Console SLU Character Formats
4	2.2.5.3	Break-on-Halt Jumpers
3	2.2.6	Second SLU Switch and Jumper Configurations
4	2.2.6.1	Second SLU Baud Rates
4	2.2.6.2	Second SLU Character Formats
3	2.2.7	Internal/External SLU Clock Jumpers
3	2.2.8	Bus Grant Continuity Jumpers
2	2.3	Factory Switch and Jumper Configurations
2	2.4	Module Contact Finger Identification
2	2.5	Backplane Pin Assignments and Their KDF11-BA Utilization
2	2.6	Hardware Options
3	2.6.1	Backplanes
3	2.6.2	Enclosures
3	2.6.3	Memory Modules
3	2.6.4	Peripheral Options
2	2.7	System Differences
2	2.8	Module Installation Procedure
1	Chapter 3	Console On-Line Debugging Technique (ODT)
2	3.1	Introduction
2	3.2	Terminal Interface
2	3.3	Console ODT Entry Conditions
2	3.4	ODT Operation of the Console Serial-Line Interface
3	3.4.1	Console ODT Input Sequence
3	3.4.2	Console ODT Output Sequence
2	3.5	Console ODT Command Set
3	3.5.1	/ (ASCII 057) -- Slash
3	3.5.2	<CR> (ASCII 15) -- Carriage Return
3	3.5.3	<LF> (ASCII 12) -- Line Feed
3	3.5.4	$ (ASCII 044) or R (ASCII 122) -- Internal Register Designator
3	3.5.5	S (ASCII 123) -- Processor Status Word Designator
3	3.5.6	G (ASCII 107) -- Go
3	3.5.7	P (ASCII 120) -- Proceed
3	3.5.8	Control-Shift-S (ASCII 23) -- Binary Dump
3	3.5.9	Reserved Command
2	3.6	KDF11-B Address Specification
3	3.6.1	Processor I/O Address
3	3.6.2	Stack Pointer Selection
3	3.6.3	Entering of Octal Digits
3	3.6.4	ODT Timeout
2	3.7	Invalid Characters
1	Chapter 4	Extended LSI-11 Bus
2	4.1	Introduction
2	4.2	Bus Signal Nomenclature
2	4.3	Data Transfer Bus Cycles
3	4.3.1	Bus Cycle Protocol
4	4.3.1.1	Device Addressing
4	4.3.1.2	DATI
4	4.3.1.3	DATO(B)
4	4.3.1.4	DATIO(B)
2	4.4	Direct Memory Access (DMA)
2	4.5	Interrupts
3	4.5.1	Device Priority
3	4.5.2	Interrupt Protocol
3	4.5.3	4-Level Interrupt Configurations
2	4.6	Control Functions
3	4.6.1	Memory Refresh
3	4.6.2	Halt
3	4.6.3	Initialization
3	4.6.4	Power Status
4	4.6.4.1	BDCOK H
4	4.6.4.2	BPOK H
4	4.6.4.3	Power-Up
4	4.6.4.4	Power-Down
3	4.6.5	BEVENT L
2	4.7	Bus Electrical Characteristics
3	4.7.1	Signal-Level Specification
3	4.7.2	AC Bus Load Definition
3	4.7.3	DC Bus Load Definition
3	4.7.4	120 ohm LSI-11 Bus
3	4.7.5	Bus Drivers
3	4.7.6	Bus Receivers
3	4.7.7	Bus Termination
3	4.7.8	Bus Interconnection Wiring
