#PART	EK-KDJ1A-UG-001
#TITLE	KDJ11-A CPU Module User's Guide
1	Chapter 1	Architecture
2	1.1	Description
2	1.2	General Purpose Registers
3	1.2.1	Registers
3	1.2.2	Stack Pointer
3	1.2.3	Program Counter
2	1.3	System Control Registers
3	1.3.1	Processor Status Word (Address: 17 777 776)
3	1.3.2	CPU Error Register (Address: 17 777 766)
3	1.3.3	Program Interrupt Request Register (Address: 17 777 772)
3	1.3.4	Line Time Clock Register (Address: 17 777 546)
3	1.3.5	Maintenance Register (Address: 17 777 750)
2	1.4	Interrupts
2	1.5	Memory Management
3	1.5.1	Memory Mapping
4	1.5.1.1	16-Bit Mapping
4	1.5.1.2	18-Bit Mapping
4	1.5.1.3	22-Bit Mapping
3	1.5.2	Compatibility
3	1.5.3	Virtual Addressing
3	1.5.4	Interrupt Conditions Under Memory Management Control
3	1.5.5	Construction of a Physical Address
3	1.5.6	Memory Management Registers
4	1.5.6.1	Page Address Registers
4	1.5.6.2	Page Descriptor Register
3	1.5.7	Fault Recovery Registers
4	1.5.7.1	Memory Management Register 0 (Address: 17 777 572)
4	1.5.7.2	Memory Management Register 1 (Address: 17 777 574)
4	1.5.7.3	Memory Management Register 2 (Address: 17 777 576)
4	1.5.7.4	Memory Management Register 3 (Address: 17 772 516)
4	1.5.7.5	Instruction Back-Up/Restart Recovery
4	1.5.7.6	Clearing Status Registers Following Abort
4	1.5.7.7	Multiple Faults
3	1.5.8	Typical Usage Examples
4	1.5.8.1	Typical Memory Page
4	1.5.8.2	Nonconsecutive Memory Pages
4	1.5.8.3	Stack Memory Pages
3	1.5.9	Transparency
2	1.6	Cache Memory
3	1.6.1	Parity
4	1.6.1.1	Parity Errors
4	1.6.1.2	Multiple Cache Parity Errors
3	1.6.2	Memory System Registers
4	1.6.2.1	Cache Control Register (Address: 17 777 746)
4	1.6.2.2	Hit/Miss Register (Address: 17 777 752)
4	1.6.2.3	Memory System Error Register (Address: 17 777 744)
2	1.7	Floating-Point
3	1.7.1	Floating-Point Data Formats
4	1.7.1.1	Nonvanishing Floating-Point Numbers
4	1.7.1.2	Floating-Point Zero
4	1.7.1.3	The Undefined Variable
4	1.7.1.4	Floating-Point Data
3	1.7.2	Floating-Point Registers
4	1.7.2.1	Floating-Point Accumulator
4	1.7.2.2	Floating-Point Status Register (FPS)
4	1.7.2.3	Floating-Point Exception Registers (FEC, FEA)
3	1.7.3	Floating-Point Instruction Addressing
3	1.7.4	Accuracy
2	1.8	Software Systems
1	Chapter 2	Installation
2	2.1	Introduction
2	2.2	Configuration
3	2.2.1	Power-Up Options
4	2.2.1.1	Power-Up Option 0
4	2.2.1.2	Power-Up Option 1
4	2.2.1.3	Power-Up Option 2
4	2.2.1.4	Power-Up Option 3
3	2.2.2	HALT Option
