#PART	EK-KDJ1B-UG-001
#TITLE	KDJ11-B CPU Module User's Guide
1	Chapter 1	Architecture
2	1.1	Description
2	1.2	DCJ11-A Features
3	1.2.1	Stack Limit Protection
3	1.2.2	Kernel Protection
3	1.2.3	General Registers
3	1.2.4	Stack Pointer
3	1.2.5	Program Counter
3	1.2.6	Processor Status Word (17 777 776)
3	1.2.7	CPU Error Register (17 777 766)
3	1.2.8	Program Interrupt Request Register (17 777 772)
2	1.3	Interrupts
3	1.3.1	Sunset Loops
3	1.3.2	Red Stack Aborts
3	1.3.3	Addressing Errors
3	1.3.4	Bus Timeout Errors
3	1.3.5	Interrupt Vector Timeouts
3	1.3.6	No SACK Timeouts
2	1.4	Memory Management
3	1.4.1	Memory Mapping
4	1.4.1.1	16-Bit Mapping
4	1.4.1.2	18-Bit Mapping
4	1.4.1.3	22-Bit Mapping
3	1.4.2	Compatibility
3	1.4.3	Virtual Addressing
3	1.4.4	Interrupts Under Memory Management
3	1.4.5	Construction of a Physical Address
3	1.4.6	Memory Management Registers
4	1.4.6.1	Page Address Register
4	1.4.6.2	Page Descriptor Register
3	1.4.7	Fault Recovery Registers
4	1.4.7.1	Memory Management Register 0 (17 777 572)
4	1.4.7.2	Memory Management Register 1 (17 777 574)
4	1.4.7.3	Memory Management Register 2 (17 777 576)
4	1.4.7.4	Memory Management Register 3 (17 772 516)
4	1.4.7.5	Instruction Back-Up/Restart Recovery
4	1.4.7.6	Clearing Status Registers Following Abort
4	1.4.7.7	Multiple Faults
3	1.4.8	Typical Usage Examples
4	1.4.8.1	Typical Memory Page
4	1.4.8.2	Nonconsecutive Memory Pages
4	1.4.8.3	Stack Memory Pages
3	1.4.9	Transparency
2	1.5	Cache Memory
3	1.5.1	Parity
4	1.5.1.1	Parity Errors
4	1.5.1.2	Multiple Cache Parity Errors
3	1.5.2	Memory System Errors
4	1.5.2.1	Cache Control Register (17 777 746)
4	1.5.2.2	Hit/Miss Register (17 777 752)
4	1.5.2.3	Memory System Error Register (17 777 744)
2	1.6	Private Memory Interconnect
3	1.6.1	PMI Protocol
4	1.6.1.1	Bus Device NPR
4	1.6.1.2	Bus Device Interrupt
3	1.6.2	PMI Data Transfers
4	1.6.2.1	Data In/Data In Phase
4	1.6.2.2	Block Data In
4	1.6.2.3	Data Out/Data Out Byte
2	1.7	Terminal Interface
3	1.7.1	Receiver Control/Status Register (17 777 560)
3	1.7.2	Receiver Buffer Register (17 777 562)
3	1.7.3	Transmitter Control/Status Register (17 777 564)
3	1.7.4	Transmitter Buffer Register (17 777 566)
2	1.8	Boot and Diagnostic Facility
3	1.8.1	Control/Status Register (17 777 520)
3	1.8.2	Page Control Register (17 777 522)
3	1.8.3	Configuration and Display Register (17 777 524)
