#PART	EK-KE11E-OP-001
#TITLE	KE11-E and KE11-F Instruction Set Options User's Manual
1	Chapter 1	General Description
2	1.1	KE11-E Extended Instruction Set
3	1.1.1	Purpose
3	1.1.2	Configuration
3	1.1.3	Specifications
2	1.2	KE11-F Floating Instruction Set
3	1.2.1	Purpose
3	1.2.2	Configuration
3	1.2.3	Specifications
1	Chapter 2	Installation
2	2.1	KE11-E Procedure
2	2.2	KE11-F Procedure
1	Chapter 3	Programming
2	3.1	KE11-E Extended Instruction Set
3	3.1.1	Operation
3	3.1.2	Formats
3	3.1.3	Instructions
2	3.2	KE11-F Floating Instruction Set
3	3.2.1	Operation
3	3.2.2	Formats
3	3.2.3	Instructions
3	3.2.4	Programming Example
1	Appendix A	Glossary of Terms
