#PART	EK-LA34S-PS-001
#TITLE	DECwriter IV Pocket Service Guide
1	1	Testing and Troubleshooting
2	1.1	General
3	1.1.1	Terminal Troubleshooting
3	1.1.2	Option Troubleshooting
2	1.2	Terminal Status Messages
3	1.2.1	KSR Terminal Status Messages
3	1.2.2	RO Printer Status Message
2	1.3	KSR Terminal Self-Test
3	1.3.1	Power-Up Self-Test
3	1.3.2	Printer Self-Tests
2	1.4	RO Printer Self-Tests
3	1.4.1	Power-Up Self-Test
3	1.4.2	Printer Self-Tests
3	1.4.3	Data Loopback Tests -- RO Terminals
1	2	Mechanical Servicing
2	2.1	General
2	2.2	Printer Housing Cover
3	2.2.1	Printer Housing Cover Removal
3	2.2.2	Printer Housing Installation
2	2.3	Platen Clutch/Gear Assembly
3	2.3.1	Platen Clutch/Gear Assembly Removal
3	2.3.2	Platen Clutch/Gear Assembly Installation
2	2.4	Bail Bar Assembly
2	2.5	Friction Assembly
2	2.6	Power Supply Assembly
2	2.7	Printhead Assembly
3	2.7.1	Printhead Removal
3	2.7.2	Printhead Installation
2	2.8	Keyboard/Operator Control Panel Assembly
2	2.9	Logic Board
3	2.9.1	Logic Board Installation (LA34/38-AA, XL/XM Terminals and LA34-RA, VA, WA Terminals)
2	2.10	Printer Mechanism
2	2.11	Paper Drive Cluster Gear
2	2.12	Stepper Motor Assembly
2	2.13	Servo Motor and Encoder Assembly
2	2.14	Pulley/Tension Assembly
2	2.15	Timing Belt
2	2.16	Ribbon Drive Cable
2	2.17	Carriage Assembly
1	3	Option Servicing
2	3.1	General
2	3.2	LAX34-XL/XM Extended Logic Options
3	3.2.1	Checkout Procedure
3	3.2.2	Extended Logic Board Replacement
2	3.3	LAX34-RL Roll Paper Holder Option
3	3.3.1	Checkout Procedure
3	3.3.2	Roll Paper Holder Replacement
2	3.4	LAX34-AL Tractor Option
3	3.4.1	Checkout Procedures
3	3.4.2	Tractor Assembly Replacement
2	3.5	LAX34-LL Paper Low Detection Option
3	3.5.1	Checkout Procedure
3	3.5.2	Paper Low Detection Option Replacement
2	3.6	LAX34-PL Paper Out Detection Option
3	3.6.1	Checkout Procedure
3	3.6.2	Paper Out Detection Option Replacement
2	3.7	LAX34-CL 20 mA Current Loop Interface Option
3	3.7.1	Checkout Procedure
3	3.7.2	20 mA Current Loop Interface
2	3.8	LAX34-KL Numeric Keypad Option
3	3.8.1	Checkout Procedure
3	3.8.2	Numeric Keypad Option Replacement
1	4	Operating Features Summary
2	4.1	General
2	4.2	Communication Switches
3	4.2.1	Selecting Communication Features
2	4.3	Featured Control Jumpers
1	5	Spares
2	5.1	General
