#PART EK-LA70J-SG.0001
#TITLE LA70 Personal Printer Service Guide
1		About This Manual
1	1	Overview
2	1.1	Recommended Tools
2	1.2	Identification of the Parts
1	2	Troubleshooting
2	2.1	Introduction
2	2.2	General Troubleshooting Rules
2	2.3	Print Quality Checklist
2	2.4	Before You Start
2	2.5	Fault Isolation
3	2.5.1	Power-Related Problems
3	2.5.2	Operation-Related Problems
3	2.5.3	Print-Related Problems
3	2.5.4	Ribbon- or Carriage-Related Problems
2	2.6	Automatic Sheet Feeder-Related Problems
1	3	Customer Services Engineering Tests and Diagnostics
2	3.1	Introduction
2	3.2	Diagnostics Startup Summary
3	3.2.1	Printing Self-Test
2	3.3	C.S. Engineering Tests
3	3.3.1	Serial Port Loopback Self-Test
3	3.3.2	Parallel Port Loopback Self-Test
3	3.3.3	Carriage Motion Self-Test
3	3.3.4	"H" Pattern Self-Test
3	3.3.5	Printhead Pattern
3	3.3.6	PLU/PLD Test
3	3.3.7	First Line on Page Adjustment
3	3.3.8	Hex Dump Printing (Control Representation Mode)
1	4	Installation
2	4.1	Preparation
2	4.2	Installation
2	4.3	Verification
2	4.4	Running the C.S. Diagnostics
2	4.5	Proving the Setup Capability
1	5	Setup
2	5.1	Introduction
2	5.2	Selecting Setup Mode
2	5.3	Paper Out in Setup Mode
2	5.4	Set-up with Automatic Sheet Feeder
2	5.5	Selectable Features
2	5.6	Factory Setting
1	6	Removing and Replacing FRUs
2	6.1	Introduction
2	6.2	Printhead
3	6.2.1	Removal
3	6.2.2	Replacement
2	6.3	Main Cover Assembly
3	6.3.1	Removal
3	6.3.2	Replacement
2	6.4	Fuses
3	6.4.1	Removal
3	6.4.2	Replacement
2	6.5	Removing the Main PCB kit
3	6.5.1	Removal
3	6.5.2	Replacement
2	6.6	Noise Filter PCB Assembly
3	6.6.1	PCB Removal
3	6.6.2	Replacing the Noise Filter PCB Assembly
2	6.7	Panel PCB Assembly
3	6.7.1	Removal
3	6.7.2	Replacement
2	6.8	Printhead Cable
3	6.8.1	Removal
3	6.8.2	Replacement
2	6.9	Printer Mechanism
3	6.9.1	Removing the Mechanical Assembly
3	6.9.2	Replacing the Mechanical Assembly
2	6.10	Automatic Sheet Feeder (ASF)
3	6.10.1	Removal
3	6.10.2	Replacement
1	7	Maintenance and Cleaning
2	7.1	Introduction
2	7.2	Maintenance
2	7.3	Cleaning
3	7.3.1	Cleaning the Carrier Shaft
3	7.3.2	Platen
1	8	Repair Center Activity
2	8.1	Paper Feed Motor
2	8.2	Carrier Motor
3	8.2.1	Removing the Carrier Motor Block
3	8.2.2	Replacing the Carrier Motor
2	8.3	Platen Unit
3	8.3.1	Removal and Replacement
2	8.4	Tractor Unit
3	8.4.1	Removal and Replacement
2	8.5	Carrier Unit
3	8.5.1	Removal
3	8.5.2	Replacement
2	8.6	Main Unit
3	8.6.1	Removal
3	8.6.2	Replacement
2	8.7	Pinch Roller
3	8.7.1	Removal
3	8.7.2	Replacement
2	8.8	Head Gap Adjustment
2	8.9	Carriage Belt Tension Adjustment
1	9	Automatic Sheet Feeder (ASF)
2	9.1	Introduction
2	9.2	Installing the Automatic Sheet Feeder (ASF)
3	9.2.1	Preparation
3	9.2.2	Installation
2	9.3	Removal
2	9.4	Setting the Automatic Sheet Feeder
2	9.5	Testing the ASF
1	10	Firmware
2	10.1	Replacing the Firmware
1	A	Specifications
2	A.1	Printer Specifications
2	A.2	Paper Specifications
1	B	Spares and Service Kit Part Numbers
2	B.1	Recommended Van-Kit Spares List
2	B.2	Special Tools
2	B.3	Country Kits/Power Cables
2	B.4	Data Cables
2	B.5	Miscellaneous Spares
2	B.6	LA70 Miscellaneous Kit
1	C	Meaning of the Indicators
1	D	Function of the Switches
1	E	Functional Diagram
1	F	Control Character Acronyms
1	G	Feature List
1	H	LA70/LA75 Differences
2	H.1	Hardware/Firmware Differences
3	H.1.1	Printing Capabilities
3	H.1.2	Paper Handling
3	H.1.3	Usage and Life
