#PART	EK-MS11L-UG-001
#TITLE	MS11-L MOS Memory User's Guide
1	Chapter 1	Characteristics and Specifications
2	1.1	Introduction
2	1.2	General Description
2	1.3	Specifications
3	1.3.1	Functional Specifications
3	1.3.2	Electrical Specifications
3	1.3.3	Physical and Environmental Specifications
2	1.4	Related Documents
1	Chapter 2	Installation and Programming
2	2.1	General
2	2.2	Installation
3	2.2.1	Switch and Jumper Configurations
4	2.2.1.1	Memory Addressing
4	2.2.1.2	I/O Peripheral Page Size Selection
4	2.2.1.3	CSR Address Selection
4	2.2.1.4	Power Voltages
3	2.2.2	Backplane Placement (Unibus Operation Only)
3	2.2.3	Power Voltage Check
3	2.2.4	MAINDEC Testing
2	2.3	CSR Bit Assignments
