#PART EK-PC11-TM-003
#TITLE PC11 High-Speed Reader/Punch and Control Manual
1	Chapter 1	Introduction
2	1.1	Functional Description
2	1.2	Specifications
3	1.2.1	Physical Description
3	1.2.2	Specifications
3	1.2.3	Power Requirements
1	Chapter 2	Installation
2	2.1	Configurations
2	2.2	Cabling and Terminations
2	2.3	Address and Priority Assignments
2	2.4	Power Connections
2	2.5	Installation Verification
1	Chapter 3	Operation and Programming
2	3.1	Device Registers
2	3.2	Addresses
2	3.3	Timing Considerations
3	3.3.1	Reader Timing
3	3.3.2	Punch Timing
2	3.4	Data Formats
2	3.5	Programming Examples
3	3.5.1	Program Control of the Reader
3	3.5.2	Reader Interrupt Service
3	3.5.3	Punch Programmed Service
2	3.6	Restructuring the System
1	Chapter 4	Detailed Description
2	4.1	Address Selection
3	4.1.1	Inputs
3	4.1.2	Slave Sync (SSYN)
2	4.2	Interrupt Control
2	4.3	Output Logic
2	4.4	Input Logic
1	Chapter 5	Maintenance
2	5.1	Test Equipment and Programs
2	5.2	Preventive Maintenance
2	5.3	Corrective Maintenance
1	Appendix A	Signal Correlations
1	Appendix B	Engineering Drawings
