#PART EK-RX01-OP-001
#TITLE RX8/RX11 Floppy Disk System User's Manual
1	Chapter 1	General Information
2	1.1	Introduction
2	1.2	Physical Description
3	1.2.1	RX8E/RX11 Interfaces
3	1.2.2	Microprogrammed Controller
3	1.2.3	Read/Write Electronics
3	1.2.4	Electro-Mechanical Drive
3	1.2.5	Power Supply
2	1.3	Systems Compatibility
3	1.3.1	Media
3	1.3.2	Recording Scheme
3	1.3.3	Logical Format
4	1.3.3.1	Header Description
4	1.3.3.2	Data Field Description
4	1.3.3.3	Track Usage
4	1.3.3.4	CRC Capability
2	1.4	Applicable Instruction Manuals
2	1.5	Configuration
2	1.6	Specifications
1	Chapter 2	Installation and Operation
2	2.1	Purpose and Organization
2	2.2	Site Preparation
3	2.2.1	Space
3	2.2.2	Cabling
3	2.2.3	AC Power
3	2.2.4	Fire and Safety Precautions
2	2.3	Environmental Considerations
3	2.3.1	General
3	2.3.2	Temperature, Relative Humidity
3	2.3.3	Heat Dissipation
3	2.3.4	Radiated Emissions
3	2.3.5	Cleanliness
2	2.4	Installation
3	2.4.1	General
3	2.4.2	Tools
3	2.4.3	Unpacking and Inspection
4	2.4.3.1	Cabinet-Mounted
4	2.4.3.2	Separate Container
3	2.4.4	Installation
2	2.5	Operation
3	2.5.1	Operator Control
3	2.5.2	Diskette Handling Practices and Precautions
3	2.5.3	Diskette Storage
4	2.5.3.1	Short Term (Available for Immediate Use)
4	2.5.3.2	Long Term
3	2.5.4	Shipping Diskettes
1	Chapter 3	RX11 Interface Programming Information
2	3.1	Register and Vector Addresses
2	3.2	Register Description
3	3.2.1	RXCS -- Command and Status (177170)
3	3.2.2	RXDB -- Data Buffer Register (177172)
4	3.2.2.1	RXTA -- RX Track Address
4	3.2.2.2	RXSA -- RX Sector Address
4	3.2.2.3	RXDB -- RX Data Buffer
4	3.2.2.4	RXES -- RX Error and Status
2	3.3	Function Codes
3	3.3.1	Fill Buffer (000)
3	3.3.2	Empty Buffer (001)
3	3.3.3	Write Sector (010)
3	3.3.4	Read Sector (011)
3	3.3.5	Read Status (101)
3	3.3.6	Write Sector with Deleted Data (110)
3	3.3.7	Read Error Register Function (111)
3	3.3.8	Power Fail
2	3.4	Programming Examples
3	3.4.1	Read Data/Write Data
3	3.4.2	Empty Buffer Function
3	3.4.3	Fill Buffer Function
2	3.5	Restrictions and Programming Pitfalls
2	3.6	Error Recovery
1	Chapter 4	RX8E Interface Programming Information
2	4.1	Device Codes
2	4.2	Instruction Set
3	4.2.1	Load Command (LCD)
3	4.2.2	Transfer Data Register (XDR)
3	4.2.3	STR
3	4.2.4	SER
3	4.2.5	SDN
3	4.2.6	INTR
3	4.2.7	INIT
2	4.3	Register Description
3	4.3.1	Command Register
3	4.3.2	Error Code Register
3	4.3.3	RXTA -- RX Track Address
3	4.3.4	RXSA -- RX Sector Address
3	4.3.5	RXDB -- RX Data Buffer
3	4.3.6	RX Error and Status
2	4.4	Function Code Description
3	4.4.1	Fill Buffer (000)
3	4.4.2	Empty Buffer (001)
3	4.4.3	Write Sector (010)
3	4.4.4	Read Sector (011)
3	4.4.5	Read Status (101)
3	4.4.6	Write Deleted Data Sector (110)
3	4.4.7	Read Error Register Function (111)
3	4.4.8	Power Fail
2	4.5	Programming Examples
3	4.5.1	Write/Write Deleted Data/Read Functions
3	4.5.2	Empty Buffer Function
3	4.5.3	Fill Buffer Function
2	4.6	Restrictions and Programming Pitfalls
2	4.7	Error Recovery
