#PART	EK-VK100-PS-001
#TITLE	"VK100 Pocket Service Guide"
1	1	Troubleshooting
2	1.1	Introduction
2	1.2	Troubleshooting with Self-Test
2	1.3	Troubleshooting with Basic Terminal
2	1.4	Recommended Spares List
1	2	Operating Summary
2	2.1	Introduction
2	2.2	SET-UP Default Switch Pack Settings
2	2.3	SET-UP Parameter Summary
1	3	Testing
2	3.1	Introduction
2	3.2	Power-Up Self-Tests
2	3.3	Diagnostic Tests
3	3.3.1	External Communications Test
3	3.3.2	Hardcopy Communications Test
3	3.3.3	Display Test
3	3.3.4	Color Bar Test
3	3.3.5	Screen Alignment Pattern
2	3.4	Error Codes
1	4	Adjustments
2	4.1	Introduction
1	5	Removal and Replacement
2	5.1	General
2	5.2	Top Cover Removal
2	5.3	Keyboard Assembly Removal
2	5.4	Power Supply Assembly Removal
2	5.5	Power Supply Regulator Board Removal
2	5.6	Power Supply Fan Assembly Removal
2	5.7	Terminal Logic Board Removal
1	6	Physical/Functional Block Diagram
